like1,parx,pary,parz,simulation_0,chain
inf,5.258,-6.152,2.713,inf,1.0
inf,3.498,-8.125,-0.4832,inf,1.0
inf,1.45,-6.375,-3.557,inf,1.0
39520.0,4.21,3.365,-2.42,39520.0,1.0
inf,-4.332,-6.125,1.769,inf,1.0
inf,1.625,-7.12,-6.723,inf,1.0
inf,7.297,-5.74,-7.684,inf,1.0
inf,0.5645,-4.395,-8.484,inf,1.0
inf,-7.45,2.584,-0.4497,inf,1.0
inf,8.695,-2.508,-4.883,inf,1.0
35330.0,-0.2289,-4.484,1.889,35330.0,1.0
inf,8.24,1.507,0.4277,inf,1.0
inf,-3.947,-9.27,7.363,inf,1.0
inf,1.7,8.43,3.137,inf,1.0
inf,5.4,0.5073,-6.1,inf,1.0
inf,9.42,9.85,6.95,inf,1.0
inf,-3.85,-4.895,-4.652,inf,1.0
30830.0,-1.59,3.229,-7.117,30830.0,1.0
inf,-4.723,-7.734,5.57,inf,1.0
inf,0.517,8.07,-4.47,inf,1.0
inf,-4.348,-4.31,-8.234,inf,1.0
inf,-7.105,-8.73,1.35,inf,1.0
inf,5.703,5.258,3.14,inf,1.0
5836.0,-0.2537,3.373,4.496,5836.0,1.0
inf,-0.818,9.46,6.81,inf,1.0
inf,-4.117,7.066,-9.586,inf,1.0
inf,6.71,0.097,-0.962,inf,1.0
4244.0,-2.244,3.504,5.957,4244.0,1.0
inf,-8.11,-6.08,-6.516,inf,1.0
inf,-0.015335,-5.613,-3.61,inf,1.0
5390.0,-2.543,0.4084,-3.96,5390.0,1.0
inf,-0.985,-5.746,5.8,inf,1.0
inf,-7.29,1.544,6.65,inf,1.0
inf,9.164,-8.56,2.379,inf,1.0
inf,-6.22,5.254,6.535,inf,1.0
inf,8.18,2.791,-4.797,inf,1.0
3408.0,2.621,1.676,5.46,3408.0,1.0
inf,-6.4,2.602,5.11,inf,1.0
inf,-0.004406,-8.05,5.832,inf,1.0
inf,-2.682,4.938,-8.62,inf,1.0
inf,-1.755,-9.91,0.4038,inf,1.0
inf,-5.22,-6.42,9.445,inf,1.0
inf,-8.516,4.836,-5.547,inf,1.0
inf,-6.754,-0.979,-4.277,inf,1.0
inf,-9.31,2.219,-7.445,inf,1.0
inf,-6.047,7.918,6.863,inf,1.0
inf,-9.805,-0.8735,-5.8,inf,1.0
inf,-1.571,-7.1,-8.07,inf,1.0
inf,-0.3875,6.81,-8.99,inf,1.0
inf,-8.375,-5.883,3.936,inf,1.0
2202.0,0.05518,0.7617,5.21,2202.0,1.0
inf,-5.684,-1.966,9.33,inf,1.0
12390.0,2.22,-0.12427,-9.91,12390.0,1.0
inf,-5.984,-0.255,-0.1781,inf,1.0
inf,3.871,-4.074,-1.147,inf,1.0
inf,-7.625,-2.27,6.27,inf,1.0
inf,-8.31,5.18,5.734,inf,1.0
inf,-4.56,-7.82,-6.81,inf,1.0
49630.0,0.8228,5.5,8.49,49630.0,1.0
16140.0,-1.136,-1.554,-9.96,16140.0,1.0
1425.0,1.026,-1.621,5.28,1425.0,1.0
inf,8.695,4.55,5.57,inf,1.0
inf,7.996,4.27,-6.92,inf,1.0
15640.0,-2.432,1.598,-9.18,15640.0,1.0
inf,1.739,-7.285,7.59,inf,1.0
inf,0.938,6.24,-9.76,inf,1.0
inf,4.062,-3.998,-1.607,inf,1.0
inf,-9.086,2.98,-3.59,inf,1.0
inf,5.996,8.79,-8.81,inf,1.0
inf,2.48,9.51,-2.912,inf,1.0
inf,4.387,9.99,-5.72,inf,1.0
inf,0.1593,-6.082,1.898,inf,1.0
inf,-5.324,-8.61,5.633,inf,1.0
inf,4.215,-9.06,-7.402,inf,1.0
34050.0,-4.523,2.418,2.012,34050.0,1.0
63000.0,-4.293,-3.95,4.254,63000.0,1.0
inf,-5.168,4.25,-2.605,inf,1.0
4216.0,1.663,0.1216,-5.914,4216.0,1.0
inf,8.3,-6.258,-2.977,inf,1.0
inf,-4.844,3.908,-1.682,inf,1.0
inf,6.074,-0.3262,4.99,inf,1.0
inf,-7.484,7.883,2.848,inf,1.0
27400.0,-4.12,0.4675,-0.7593,27400.0,1.0
inf,-8.71,-0.0641,-2.012,inf,1.0
inf,7.06,-4.168,7.773,inf,1.0
20590.0,3.117,2.955,-3.918,20590.0,1.0
30720.0,3.895,-1.887,-0.4631,30720.0,1.0
1145.0,-1.163,-1.985,4.36,1145.0,1.0
37980.0,3.717,2.594,-9.2,37980.0,1.0
7076.0,2.625,-1.485,2.893,7076.0,1.0
inf,-0.3828,-6.16,-9.76,inf,1.0
inf,-8.74,-3.352,-7.38,inf,1.0
inf,-8.23,4.51,-0.1077,inf,1.0
inf,-7.98,-5.062,3.91,inf,1.0
inf,-1.891,9.37,-9.12,inf,1.0
inf,-8.79,8.33,-4.586,inf,1.0
inf,9.875,0.1539,-8.266,inf,1.0
inf,2.643,-6.07,7.88,inf,1.0
inf,-5.55,9.555,8.055,inf,1.0
inf,5.164,-6.34,-8.914,inf,1.0
inf,4.78,-6.406,-4.902,inf,1.0
inf,-8.984,7.418,-5.273,inf,1.0
16450.0,-3.2,-2.24,7.93,16450.0,1.0
inf,-9.07,-4.055,8.96,inf,1.0
inf,-6.113,-1.397,-4.508,inf,1.0
23140.0,2.086,3.785,-0.8677,23140.0,1.0
inf,-9.73,-3.531,-3.02,inf,1.0
inf,-0.6226,-6.117,-6.195,inf,1.0
inf,9.13,1.447,-5.152,inf,1.0
inf,-5.14,4.32,-6.746,inf,1.0
inf,-5.496,-8.37,-3.023,inf,1.0
25660.0,4.367,3.125,8.5,25660.0,1.0
7324.0,3.023,2.588,1.198,7324.0,1.0
inf,9.484,9.31,-5.992,inf,1.0
inf,-8.195,6.01,6.156,inf,1.0
inf,-5.16,7.285,-4.605,inf,1.0
inf,-8.96,5.527,4.957,inf,1.0
26130.0,1.306,-4.426,4.637,26130.0,1.0
38750.0,-3.145,-2.9,-6.535,38750.0,1.0
inf,7.16,-8.51,5.5,inf,1.0
inf,-0.3694,-7.918,1.514,inf,1.0
