Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 6000. MAXR = 4. Tempo = 11.22 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.84614995;-0.78838143;0.00061378;42.92987975;29.35568057;0.47617197;57.41548118;1.75072987;76.87170351;9.34698552;323.94272907;0.01031819;0.01029770;0.35592001;0.04850189;0.02965073;1.53244719;
-0.83572677;-0.81357582;0.00046564;36.09899465;34.41576562;0.41312890;43.87295355;1.80241764;89.35874959;7.59069394;339.71128259;0.01760605;0.01155761;0.32872650;0.04480861;0.02794096;1.42281633;
-0.84474273;-0.79662960;0.00059989;40.30603687;30.76816770;0.45775170;53.26465933;1.73654927;80.33196959;8.79600375;319.82202810;0.01142792;0.01085541;0.34488603;0.04724233;0.02788168;1.51087969;
-0.83907387;-0.81133960;0.00003616;37.22460547;33.43552641;0.42436967;44.44453151;1.75291793;87.77346087;7.93471062;332.93188814;0.01265785;0.01148694;0.33377628;0.04607948;0.02834206;1.43630469;
-0.84427544;-0.80092968;0.00105300;39.17909675;31.01015866;0.45052809;50.75250988;1.74268859;83.66787038;8.64455840;321.84108921;0.01024229;0.01091408;0.34167355;0.04780689;0.03180432;1.65743091;
-0.84539293;-0.78937796;0.00003094;41.43838650;29.33018085;0.47153425;57.29991365;1.77390278;77.97705269;8.91136244;320.84800641;0.01295617;0.01042824;0.34710927;0.04794525;0.02940031;1.53500608;
-0.83669301;-0.81304053;0.00030067;36.43592552;34.22296744;0.41512953;43.44422184;1.76755147;88.96037424;7.65623148;336.16824852;0.01511227;0.01158115;0.32985830;0.04534248;0.02848454;1.46497422;
-0.84151124;-0.80948978;0.00016652;37.46752498;32.70748603;0.43074649;45.31182688;1.70891373;86.88457605;8.04664192;327.34164283;0.01063685;0.01141169;0.33742073;0.04679348;0.02829785;1.51412341;
-0.83289458;-0.81572943;0.00246023;36.00136196;35.40621729;0.40782836;39.21528513;1.70934030;90.64683567;7.71279389;340.55401903;0.01075282;0.01193495;0.32910125;0.04507115;0.02755609;1.36789180;
-0.84354992;-0.80080304;0.00063048;39.17938548;31.11184240;0.44780040;51.98647207;1.81269026;82.80493867;8.27647339;326.61777003;0.01640110;0.01088446;0.33860693;0.04668787;0.02862100;1.53553679;
-0.83301585;-0.81486822;0.00119456;35.61052048;35.21714750;0.40459338;42.35585666;1.83535246;90.78235940;7.52857591;339.96908227;0.01932677;0.01171276;0.32487861;0.04431922;0.02998671;1.45868386;
