date;etp;cmb;qin;qobs;w
24/04/2014;3.37;0.63;1.53;6.19;1
25/04/2014;3.74;0.00;1.43;5.94;1
26/04/2014;2.77;0.00;1.45;5.80;1
27/04/2014;2.53;0.00;1.52;5.87;1
28/04/2014;2.95;0.00;1.63;5.95;1
29/04/2014;2.49;0.00;1.54;5.64;1
30/04/2014;3.10;0.00;1.36;5.29;1
01/05/2014;3.28;0.00;1.26;5.18;1
02/05/2014;3.12;0.00;1.42;5.37;1
03/05/2014;3.24;0.00;1.54;5.53;1
04/05/2014;2.89;0.00;1.48;5.20;1
05/05/2014;2.59;0.00;1.40;5.01;1
06/05/2014;2.90;0.13;1.42;5.02;1
07/05/2014;2.53;0.00;1.47;5.01;1
08/05/2014;2.86;0.00;1.39;4.78;1
09/05/2014;3.07;0.00;1.39;4.34;1
10/05/2014;2.53;0.00;1.61;4.60;1
11/05/2014;2.47;0.00;1.80;4.76;1
12/05/2014;2.70;0.00;1.74;4.53;1
13/05/2014;2.68;0.00;1.67;4.46;1
14/05/2014;2.67;0.00;1.69;4.47;1
15/05/2014;2.63;0.00;1.67;4.40;1
16/05/2014;2.76;0.00;1.43;4.23;1
17/05/2014;2.27;0.00;1.25;4.39;1
18/05/2014;1.67;0.00;1.24;4.37;1
19/05/2014;1.41;0.00;1.37;4.55;1
20/05/2014;2.58;0.13;1.45;4.40;1
21/05/2014;2.10;0.00;1.24;4.19;1
22/05/2014;2.78;7.13;1.20;4.12;1
23/05/2014;2.16;13.25;1.56;5.48;1
24/05/2014;2.38;2.75;1.68;5.92;1
25/05/2014;2.43;0.13;1.65;5.86;1
26/05/2014;2.42;6.25;1.57;5.50;1
27/05/2014;2.35;0.00;1.77;5.90;1
28/05/2014;1.99;0.00;1.67;5.85;1
29/05/2014;2.49;0.00;1.60;5.62;1
30/05/2014;2.33;0.00;1.62;5.39;1
31/05/2014;2.37;0.00;1.47;4.95;1
01/06/2014;1.81;3.75;1.31;4.91;1
02/06/2014;2.07;9.88;1.41;5.39;1
03/06/2014;2.04;0.13;1.45;5.56;1
04/06/2014;2.21;0.00;1.34;5.46;1
05/06/2014;1.74;0.13;1.23;5.35;1
06/06/2014;1.70;0.00;1.12;5.33;1
07/06/2014;2.01;0.00;1.11;5.33;1
08/06/2014;2.79;0.00;1.14;5.17;1
09/06/2014;2.35;0.00;1.35;5.31;1
10/06/2014;2.36;0.00;1.53;5.14;1
11/06/2014;2.74;0.00;1.47;4.79;1
12/06/2014;2.37;0.00;1.41;4.59;1
13/06/2014;2.34;0.13;1.44;4.49;1
14/06/2014;2.38;0.00;1.39;4.19;1
15/06/2014;1.70;0.00;1.42;4.16;1
16/06/2014;2.12;0.00;1.44;4.12;1
17/06/2014;2.49;0.13;1.38;3.84;1
18/06/2014;2.48;0.00;1.38;3.79;1
19/06/2014;2.31;0.00;1.46;3.71;1
20/06/2014;2.05;0.00;1.39;3.26;1
21/06/2014;2.10;0.00;1.35;3.13;1
22/06/2014;2.42;0.00;1.37;3.14;1
23/06/2014;2.49;0.00;1.36;2.90;1
24/06/2014;2.43;0.13;1.35;2.34;1
25/06/2014;2.62;0.00;1.20;1.85;1
26/06/2014;2.73;0.00;1.20;1.83;1
27/06/2014;2.64;0.00;1.27;1.91;1
28/06/2014;2.64;0.00;1.32;2.04;1
29/06/2014;2.59;0.00;1.25;4.07;1
30/06/2014;2.57;0.13;1.25;4.55;1
01/07/2014;2.20;0.00;1.25;3.27;1
02/07/2014;2.28;0.00;1.31;2.70;1
03/07/2014;2.06;0.00;1.41;2.62;1
04/07/2014;2.29;0.00;1.44;2.59;1
05/07/2014;2.33;0.00;1.39;1.90;1
06/07/2014;2.85;0.00;1.39;1.68;1
07/07/2014;2.07;0.00;1.43;1.86;1
08/07/2014;1.94;11.88;1.61;2.53;1
09/07/2014;2.34;0.25;1.67;2.77;1
10/07/2014;1.99;5.25;1.64;2.84;1
11/07/2014;2.34;0.00;1.78;3.37;1
12/07/2014;2.91;0.00;1.73;3.47;1
13/07/2014;2.78;0.00;1.73;3.56;1
14/07/2014;3.09;0.00;1.61;3.40;1
15/07/2014;3.10;0.13;1.52;3.35;1
16/07/2014;2.70;0.00;1.45;3.31;1
17/07/2014;2.91;0.00;1.42;3.24;1
18/07/2014;2.34;0.00;1.31;3.01;1
19/07/2014;2.35;0.00;1.40;3.24;1
20/07/2014;2.83;0.00;1.43;3.03;1
21/07/2014;2.61;0.00;1.42;2.86;1
22/07/2014;2.44;0.00;1.38;2.80;1
23/07/2014;2.93;0.00;1.29;2.63;1
24/07/2014;2.70;8.63;1.11;2.57;1
25/07/2014;2.00;5.63;1.35;3.49;1
26/07/2014;2.65;0.00;1.60;3.71;1
27/07/2014;2.90;1.00;1.67;4.17;1
28/07/2014;3.01;0.00;1.77;4.57;1
29/07/2014;2.81;0.00;1.76;4.53;1
30/07/2014;2.92;0.00;1.62;4.31;1
31/07/2014;2.50;0.00;1.41;4.01;1
01/08/2014;2.56;0.00;1.33;3.70;1
02/08/2014;2.77;0.00;1.29;3.40;1
03/08/2014;2.46;0.00;1.20;3.20;1
04/08/2014;2.82;0.00;1.24;3.10;1
05/08/2014;2.63;0.00;1.51;3.13;1
06/08/2014;2.97;0.00;1.49;2.87;1
07/08/2014;3.13;0.00;1.46;2.78;1
08/08/2014;3.00;0.00;1.47;2.90;1
09/08/2014;3.06;0.00;1.39;2.93;1
10/08/2014;2.79;0.00;1.30;2.81;1
11/08/2014;3.42;0.00;1.26;2.84;1
12/08/2014;3.35;0.00;1.19;2.76;1
13/08/2014;3.14;0.50;1.27;2.88;1
14/08/2014;3.03;0.63;1.55;3.07;1
15/08/2014;2.63;0.00;1.56;3.04;1
16/08/2014;2.07;0.00;1.57;3.00;1
17/08/2014;2.60;2.13;1.55;3.06;1
18/08/2014;2.54;0.13;1.47;2.97;1
19/08/2014;3.11;0.25;1.55;3.08;1
20/08/2014;2.63;0.00;1.64;2.99;1
21/08/2014;2.71;0.00;1.61;2.86;1
22/08/2014;3.11;0.13;1.51;2.75;1
23/08/2014;3.75;0.00;1.42;2.71;1
24/08/2014;3.48;0.00;1.32;2.77;1
25/08/2014;3.01;0.00;1.28;2.71;1
26/08/2014;3.02;3.00;1.24;3.09;1
27/08/2014;3.03;0.13;1.36;3.48;1
28/08/2014;3.81;0.00;1.39;3.38;1
