"id","DatesR","P","T","E","Qls","Qmm"
"1",2004-01-01 00:00:00,0,NA,0,5170,0.0202304347826087
"2",2004-01-01 01:00:00,0,NA,0,5156,0.020175652173913
"3",2004-01-01 02:00:00,0,NA,0,5143,0.0201247826086957
"4",2004-01-01 03:00:00,0,NA,0,5130,0.0200739130434783
"5",2004-01-01 04:00:00,0,NA,0,5116,0.0200191304347826
"6",2004-01-01 05:00:00,0,NA,0,5103,0.0199682608695652
"7",2004-01-01 06:00:00,0,NA,0,5089,0.0199134782608696
"8",2004-01-01 07:00:00,0,NA,0.01,5076,0.0198626086956522
"9",2004-01-01 08:00:00,0,NA,0.02,5062,0.0198078260869565
"10",2004-01-01 09:00:00,0,NA,0.02,5049,0.0197569565217391
"11",2004-01-01 10:00:00,0,NA,0.03,4840,0.0189391304347826
"12",2004-01-01 11:00:00,0,NA,0.03,4796,0.0187669565217391
"13",2004-01-01 12:00:00,0,NA,0.04,5129,0.02007
"14",2004-01-01 13:00:00,0,NA,0.04,5121,0.0200386956521739
"15",2004-01-01 14:00:00,0,NA,0.03,5098,0.0199486956521739
"16",2004-01-01 15:00:00,0,NA,0.03,5074,0.0198547826086957
"17",2004-01-01 16:00:00,0,NA,0.02,5051,0.0197647826086957
"18",2004-01-01 17:00:00,0,NA,0.02,5019,0.0196395652173913
"19",2004-01-01 18:00:00,0,NA,0.01,4667,0.0182621739130435
"20",2004-01-01 19:00:00,0,NA,0,4897,0.0191621739130435
"21",2004-01-01 20:00:00,0,NA,0,5151,0.0201560869565217
"22",2004-01-01 21:00:00,0,NA,0,5145,0.0201326086956522
"23",2004-01-01 22:00:00,0,NA,0,5134,0.0200895652173913
"24",2004-01-01 23:00:00,0,NA,0,5123,0.0200465217391304
"25",2004-01-02 00:00:00,0,NA,0,5112,0.0200034782608696
"26",2004-01-02 01:00:00,0,NA,0,5100,0.0199565217391304
"27",2004-01-02 02:00:00,0,NA,0,5089,0.0199134782608696
"28",2004-01-02 03:00:00,0,NA,0,5078,0.0198704347826087
"29",2004-01-02 04:00:00,0,NA,0,5067,0.0198273913043478
"30",2004-01-02 05:00:00,0,NA,0,5056,0.019784347826087
"31",2004-01-02 06:00:00,0,NA,0,5045,0.0197413043478261
"32",2004-01-02 07:00:00,0,NA,0.01,5033,0.019694347826087
"33",2004-01-02 08:00:00,0,NA,0.02,5022,0.0196513043478261
"34",2004-01-02 09:00:00,0.13,NA,0.03,4963,0.0194204347826087
"35",2004-01-02 10:00:00,0.16,NA,0.04,4490,0.0175695652173913
"36",2004-01-02 11:00:00,0.2,NA,0.04,4606,0.0180234782608696
"37",2004-01-02 12:00:00,0.3,NA,0.05,5075,0.0198586956521739
"38",2004-01-02 13:00:00,0.37,NA,0.05,5105,0.0199760869565217
"39",2004-01-02 14:00:00,0.15,NA,0.04,5109,0.0199917391304348
"40",2004-01-02 15:00:00,0.04,NA,0.04,5113,0.0200073913043478
"41",2004-01-02 16:00:00,0.85,NA,0.03,5118,0.0200269565217391
"42",2004-01-02 17:00:00,1.14,NA,0.02,5002,0.0195730434782609
"43",2004-01-02 18:00:00,0.9,NA,0.01,5075,0.0198586956521739
"44",2004-01-02 19:00:00,1.56,NA,0,5292,0.0207078260869565
"45",2004-01-02 20:00:00,2.32,NA,0,5393,0.0211030434782609
"46",2004-01-02 21:00:00,1.59,NA,0,5495,0.0215021739130435
"47",2004-01-02 22:00:00,1.74,NA,0,5596,0.0218973913043478
"48",2004-01-02 23:00:00,2.23,NA,0,5725,0.0224021739130435
"49",2004-01-03 00:00:00,2.79,NA,0,5818,0.0227660869565217
"50",2004-01-03 01:00:00,2.54,NA,0,5883,0.0230204347826087
"51",2004-01-03 02:00:00,1.77,NA,0,5947,0.0232708695652174
"52",2004-01-03 03:00:00,1.42,NA,0,6011,0.0235213043478261
"53",2004-01-03 04:00:00,1.28,NA,0,6076,0.023775652173913
"54",2004-01-03 05:00:00,1.1,NA,0,6140,0.0240260869565217
