Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 1400. MAXR = 7. Tempo = 3.08 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.47475997;-0.58402543;0.00000098;89.98767674;85.68587704;0.39922478;140.40633805;3.23922985;89.48960566;56.02005173;446.81335604;0.17992531;0.00932724;0.47795210;0.06533772;0.15379355;5.19683489;
-0.78375913;-0.76940056;0.00118272;25.78441637;40.32012248;0.32712605;92.39794167;3.20549235;131.22010551;6.37250592;404.54030536;0.14323083;0.00817823;0.39507886;0.04776630;0.09448061;4.96679131;
-0.78512299;-0.76666213;0.00089998;25.73659645;42.35445593;0.33953045;98.03915155;3.17844842;129.77066812;5.61128640;381.34503369;0.18741683;0.00839917;0.39494817;0.04835107;0.10476715;5.64820709;
-0.79297736;-0.76251042;0.00293912;31.42949986;41.02603056;0.36453828;104.85825401;3.22498378;123.82232377;8.54932002;405.16626441;0.15347430;0.00733701;0.40060480;0.05150506;0.09713586;5.55053099;
-0.78393659;-0.75170174;0.00000575;32.43397566;46.93218626;0.37729109;112.71051666;3.21949586;128.79910868;10.20360946;416.72801890;0.15272172;0.00690251;0.42779000;0.05458305;0.11387855;5.60851386;
-0.79012207;-0.76630681;0.00647533;27.89092531;36.23601651;0.36362653;96.35306633;3.18939227;126.54231572;7.24735555;418.36774941;0.14117303;0.00782360;0.36578432;0.04919840;0.08820366;5.01796494;
-0.77572006;-0.76390409;0.00018796;31.03060741;48.82836339;0.34876949;103.95974482;3.23030441;126.03452079;7.60764485;406.59522268;0.13985041;0.00785416;0.39982040;0.04865258;0.10731181;5.50236195;
-0.76541855;-0.74982284;0.00000191;31.81747542;59.13933852;0.38856239;116.90046740;3.23972793;138.44466329;13.72829267;392.76916855;0.15404154;0.00845831;0.40653315;0.05581972;0.12581771;5.75435556;
-0.80345125;-0.72689042;0.02023141;38.00749972;39.04510204;0.38883131;117.80123729;3.15264939;118.68224980;14.70093108;413.52070398;0.15079180;0.00495933;0.42711083;0.05638951;0.10434226;5.55206017;
-0.79377338;-0.75775685;0.00011079;27.11775060;38.25825439;0.37321957;111.33012321;3.21581978;126.97441348;9.19054462;399.17481658;0.14141816;0.00747079;0.39519954;0.05150115;0.09811938;5.64601681;
-0.79375417;-0.76392598;0.00442454;31.90617645;36.85218590;0.36558115;98.97449472;3.22555600;121.58000298;5.20201144;420.33642679;0.13387242;0.00748918;0.39553248;0.04989007;0.09864648;5.45327988;
