Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 2600. MAXR = 3. Tempo = 5.70 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.83626893;-0.79215185;0.00008237;39.27050931;30.63739698;0.43169527;68.62663469;2.37057387;80.31585033;7.46695287;358.15091463;0.05988022;0.00927553;0.33397349;0.04207786;0.02852607;1.61907250;
-0.83228623;-0.80473112;0.00033682;37.18368747;32.79954812;0.40812736;58.81014301;2.33529503;84.85053857;6.77720137;360.37151337;0.05574213;0.01010085;0.31846642;0.04088889;0.02675740;1.43791216;
-0.83200598;-0.80386160;0.00000579;37.55162927;32.86547121;0.40617625;58.52425292;2.33813600;83.97214042;6.40116119;359.23928335;0.05764627;0.01013188;0.31704983;0.04058883;0.02558285;1.46668175;
-0.83606011;-0.79376816;0.00022423;39.87721712;31.33754024;0.43492016;67.31619077;2.34561916;80.24294696;7.71539936;359.43185419;0.05873350;0.00934212;0.33668265;0.04207272;0.03068324;1.53512417;
-0.82035038;-0.80974892;0.00000034;35.04635243;35.85464075;0.37515451;52.01472427;2.44797038;91.50852099;5.82361284;366.83740845;0.07145796;0.01062291;0.30515420;0.03958037;0.02694074;1.63504199;
-0.83321069;-0.80398672;0.00002701;37.45040724;32.70331619;0.40833324;58.79189781;2.32021109;83.68330444;6.74156015;358.57093370;0.05632091;0.01008044;0.32025706;0.04028699;0.02562764;1.50729748;
-0.83585117;-0.79574638;0.00020168;39.28600975;31.73812974;0.42833834;66.44139153;2.37749675;81.33247009;7.78182867;357.46486540;0.06067995;0.00940118;0.33413959;0.04164827;0.03112875;1.66057466;
-0.81909309;-0.81096694;0.00043126;34.29568535;35.66582847;0.36998946;48.94840904;2.32113487;89.08341765;5.60950679;368.72524476;0.06526970;0.01071793;0.30235462;0.03782727;0.02108898;1.47351665;
-0.82856493;-0.80315052;0.00000084;36.14961167;32.99376743;0.39758158;60.72218757;2.44861278;85.68791057;6.05733063;360.74832653;0.06703734;0.00994583;0.31031359;0.03973775;0.02479084;1.61317770;
-0.83531090;-0.79675582;0.00007326;39.61905377;31.85735544;0.42370728;65.66874315;2.37518210;80.73689930;7.18647931;357.97847331;0.05884149;0.00955369;0.32941121;0.04141768;0.02867989;1.60143556;
-0.83324883;-0.80385282;0.00028056;37.42370861;32.67228796;0.40880823;59.71310726;2.34569462;84.56636376;6.58373227;358.82252647;0.05652314;0.01005908;0.31735644;0.04103693;0.02656102;1.54902178;
-0.83562970;-0.79731263;0.00013067;38.71342526;31.77229670;0.42099672;65.97107127;2.37942709;82.31557119;6.88937336;358.16027765;0.05842805;0.00952172;0.32789741;0.04179240;0.03070819;1.69364872;
-0.83240294;-0.80579850;0.00050398;37.26263196;33.05608498;0.40355509;57.14361628;2.28563024;84.68143411;6.44678653;360.47663422;0.05440312;0.01022463;0.32155462;0.04070249;0.02615985;1.44180350;
-0.82843446;-0.80623075;0.00012771;36.42430161;33.43364897;0.39459560;55.94123905;2.36254159;86.15797894;5.75001837;357.38810507;0.06089519;0.01037436;0.31181111;0.04004213;0.02550709;1.55409295;
-0.83054883;-0.80451527;0.00012746;37.45710942;33.18002369;0.40307614;58.43505049;2.37361802;84.84585653;6.35637869;360.88137826;0.06114214;0.01016306;0.31503555;0.04051400;0.02503281;1.51793190;
-0.83035528;-0.80481699;0.00004292;37.85727686;33.52312569;0.40091863;56.83937649;2.31454128;84.16325599;6.42113223;360.70750802;0.05968093;0.01020603;0.31999399;0.04058039;0.02470330;1.44141255;
-0.83286395;-0.80425304;0.00021768;37.37534855;32.75830954;0.40735423;58.77267541;2.33655599;83.86788013;6.31872229;357.87261297;0.05648014;0.01017504;0.31601504;0.04010828;0.02364820;1.52039369;
-0.82168692;-0.80954250;0.00018052;35.25290825;34.65054080;0.38351554;50.72484721;2.32552667;88.48758360;5.67585520;361.90281598;0.05749808;0.01079049;0.30561352;0.03924134;0.02141491;1.33599907;
-0.82794437;-0.80639144;0.00001891;35.76966430;32.97948324;0.39497149;55.12605542;2.35096253;86.74596213;5.54010955;362.13409669;0.06049738;0.01035033;0.31236156;0.03987482;0.02473886;1.46876482;
-0.83489904;-0.80045725;0.00021050;38.17498908;32.39034358;0.41473469;64.04365484;2.36390242;83.99662880;7.13274946;352.08226955;0.05788704;0.00998096;0.32968109;0.04190089;0.03090439;1.72532205;
-0.82980534;-0.80504487;0.00017091;37.22070957;33.62838806;0.40103565;57.96720742;2.37352157;85.16530134;6.37456457;359.63654239;0.05944130;0.01020805;0.31332326;0.04022604;0.02605883;1.51980156;
-0.82895622;-0.80436000;0.00000541;37.19844729;33.34153594;0.40139550;58.82922084;2.42963997;85.32744782;6.22090786;360.21028387;0.06440570;0.01013328;0.31531057;0.03978913;0.02491107;1.55822621;
-0.83501943;-0.80267762;0.00022007;37.19960333;31.89463081;0.41678929;60.10457960;2.29214282;83.88548159;6.99102345;353.56747616;0.05376245;0.01002574;0.31930569;0.04150935;0.02471516;1.46556568;
-0.83027642;-0.80320567;0.00000281;37.28679926;33.23584549;0.40262312;59.98285289;2.41009698;84.52399023;6.27469894;361.96746854;0.06586249;0.00996972;0.31434740;0.04000609;0.02541377;1.57816965;
-0.83217289;-0.80607395;0.00032684;37.40921760;33.24368684;0.40776020;57.19065078;2.31824997;85.71520858;6.82011263;364.54953994;0.05430221;0.01014421;0.32099951;0.04111788;0.02882498;1.47096187;
-0.82831271;-0.80627188;0.00000324;36.01691586;33.72175653;0.39554236;57.41913832;2.40203537;87.26988670;6.35246853;358.56174609;0.06326379;0.01029480;0.31346778;0.04006165;0.02628546;1.59957691;
-0.82650601;-0.80651662;0.00003270;36.63093298;34.38671500;0.39366330;56.59880129;2.40267838;86.34744148;6.13326131;363.30046877;0.06308212;0.01028290;0.31116341;0.03936539;0.02623017;1.52979406;
-0.83421720;-0.80058826;0.00004872;38.90419488;32.39962823;0.41827140;62.02538395;2.33178125;81.59287928;6.84305794;358.88128560;0.05585541;0.00986898;0.32066260;0.04127353;0.02559716;1.42177006;
-0.83467894;-0.79844713;0.00006198;39.26458619;31.65459679;0.42307575;63.01704433;2.38637955;82.02257582;6.87943600;362.32037389;0.05767535;0.00966350;0.32874341;0.04119101;0.03049708;1.62378323;
-0.83569705;-0.79232657;0.00005305;40.18842129;30.17533244;0.43637308;65.16840640;2.29194258;78.54061684;6.77005561;358.56012982;0.05272770;0.00954084;0.33350974;0.04196762;0.02629711;1.37312048;
-0.83537209;-0.79371815;0.00008748;38.47411163;31.38271300;0.42653885;68.01985054;2.35775941;81.68258077;7.51851063;353.14192315;0.06003974;0.00941660;0.33165302;0.04182057;0.02886042;1.81128517;
-0.83150088;-0.80440111;0.00015869;37.20596552;33.03365205;0.40480571;58.83909915;2.37409360;85.97857093;6.59057468;361.18701378;0.06061183;0.01009514;0.32065536;0.04100058;0.02892749;1.62673058;
-0.83612702;-0.79374109;0.00034403;39.46188418;31.32013029;0.42786164;68.05617729;2.34656023;80.91368505;7.76859662;355.14348888;0.05683532;0.00941161;0.33682975;0.04252569;0.03061684;1.64391640;
-0.83071182;-0.80497802;0.00016417;37.42096545;33.47330537;0.40114059;57.91626331;2.35001714;84.76368035;6.37175897;361.67130800;0.05721355;0.01017774;0.31717776;0.04019434;0.02583774;1.54206456;
-0.82546706;-0.80718627;0.00000563;35.52595240;34.19445749;0.38961842;55.09655009;2.39407052;87.72028073;6.02082932;362.09010286;0.06389938;0.01042842;0.30703024;0.03916756;0.02352971;1.55490266;
