Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 5000. MAXR = 5. Tempo = 9.93 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.82035038;-0.80974892;0.00000034;35.04635243;35.85464075;0.37515451;52.01472427;2.44797038;91.50852099;5.82361284;366.83740845;0.07145796;0.01062291;0.30515420;0.03958037;0.02694074;1.63504199;
-0.83523109;-0.81339377;0.00058500;36.40836866;34.40931283;0.41254850;43.95177378;1.83986631;89.14754412;7.69889712;341.66784367;0.01944761;0.01148041;0.32884539;0.04452314;0.02854084;1.43350705;
-0.84473588;-0.79021532;0.00000877;41.52184218;29.72716034;0.46676742;59.05702781;1.86028269;77.92630642;9.13771119;326.28813531;0.01604513;0.01030661;0.34824348;0.04690082;0.02798314;1.47661519;
-0.84359127;-0.79756239;0.00039756;40.13471167;30.75307163;0.45438992;53.02504057;1.79896025;80.54309364;8.49645129;330.39043160;0.01480762;0.01074807;0.34122164;0.04635350;0.02825078;1.43293258;
-0.84249383;-0.80614191;0.00017999;38.25221923;32.23361910;0.43625353;48.45569552;1.77577825;85.48489236;8.19956050;326.11456886;0.01484051;0.01113588;0.33945465;0.04658063;0.03034737;1.63318218;
-0.83645396;-0.81140516;0.00000433;36.79205034;33.90070605;0.41463203;46.99372618;1.89406061;87.74169545;7.69710659;343.06584417;0.02320120;0.01121774;0.32876069;0.04422603;0.02782486;1.44295033;
-0.84270130;-0.79698844;0.00007130;40.25011678;30.81268340;0.44936394;55.09594961;1.88346753;79.93994898;8.09448766;333.50919834;0.02116700;0.01055700;0.33908080;0.04555728;0.02713186;1.43857680;
-0.84519742;-0.77830520;0.00000021;44.85744750;28.34621407;0.49250276;64.94599058;1.81539072;71.65289106;10.02755897;326.47434046;0.01158696;0.00974748;0.36048174;0.04783921;0.02819318;1.34823841;
-0.84119364;-0.80807832;0.00001501;38.58710796;32.46216218;0.43286463;45.18137173;1.74110532;85.35536832;7.81813669;333.00842956;0.01230359;0.01122985;0.33893791;0.04611647;0.02883387;1.50898871;
-0.83237178;-0.81520547;0.00175357;35.88414167;34.80604379;0.40610056;39.96521570;1.77312200;89.60268153;7.39127100;342.64997391;0.01483157;0.01177679;0.32415620;0.04403981;0.02648365;1.34849958;
-0.84276157;-0.79789466;0.00012803;40.16610884;30.80969658;0.45186345;54.02662543;1.87480089;80.73460679;8.53968605;332.54633885;0.01842790;0.01063229;0.34061672;0.04574761;0.02738711;1.44956160;
-0.84317424;-0.79913903;0.00029063;40.46737637;31.04674122;0.45464371;50.75829334;1.77755085;81.50793248;8.51717052;332.27146822;0.01266820;0.01077718;0.34393495;0.04677454;0.03025357;1.48346163;
-0.84385756;-0.78342885;0.00000061;42.52152247;28.70594586;0.47391554;63.80412901;1.90829806;75.01058679;9.13318633;332.26949849;0.02366235;0.00974675;0.35722414;0.04641659;0.02670443;1.43438546;
-0.83283953;-0.81478117;0.00129535;35.50068076;34.90660597;0.40320610;42.79735169;1.84549329;90.68001334;7.28993749;347.67132777;0.02235569;0.01143055;0.32385120;0.04438688;0.02884331;1.48455400;
-0.83429256;-0.81006254;0.00000075;38.34953490;34.21171257;0.40964848;48.64725818;2.01260788;85.74918302;7.02397328;350.39071237;0.03323194;0.01100103;0.32667319;0.04322527;0.02590269;1.39197610;
-0.84329677;-0.79763537;0.00052881;40.41591381;31.06943737;0.45288549;53.95767383;1.82377293;80.75065828;8.58576454;331.53986356;0.01700636;0.01062941;0.34358998;0.04650695;0.02836428;1.44920328;
-0.83388899;-0.81429618;0.00137572;35.37173098;34.84302414;0.40858498;41.95624481;1.78370468;90.62370849;7.81379403;336.41251541;0.01666089;0.01175148;0.32567964;0.04477808;0.02748297;1.46271349;
-0.83314382;-0.81051723;0.00000121;36.44483525;33.56096658;0.40708802;48.65656514;2.05657189;87.33510691;6.89160806;355.76980807;0.03420989;0.01085087;0.32019891;0.04228790;0.02645946;1.36379627;
-0.84342144;-0.79836612;0.00054474;40.25779495;31.11413336;0.45269346;52.08669239;1.77720973;80.74588661;8.70974334;329.10804622;0.01240977;0.01079368;0.34393840;0.04634225;0.02811697;1.44408468;
-0.84063809;-0.80946911;0.00005893;37.30091730;32.94710071;0.43275005;44.86406021;1.70183042;86.63212801;8.23407812;331.27304818;0.01003949;0.01138500;0.33471695;0.04612246;0.02817644;1.49116957;
-0.83476553;-0.81346888;0.00054954;36.17111988;34.27031611;0.41004970;43.16294318;1.81891759;89.12103146;7.53151706;340.54707469;0.01787201;0.01153758;0.32814088;0.04444068;0.02721053;1.40473465;
-0.83600426;-0.81336884;0.00085271;36.09526700;34.41066263;0.41480111;41.95270447;1.72549586;89.65502200;7.86806189;335.82114513;0.01134319;0.01168762;0.33237910;0.04531844;0.02779984;1.43918659;
-0.84209026;-0.80790395;0.00086752;39.50012292;32.99699267;0.43396652;47.49651274;1.76416813;85.59259936;8.60270769;334.30126031;0.01041689;0.01113656;0.34975639;0.04695895;0.03181972;1.51544967;
-0.84477968;-0.79018669;0.00008690;42.06057098;29.95828566;0.46809771;58.56249117;1.82816569;77.28615594;8.87353043;328.21620503;0.01756523;0.01027672;0.34878485;0.04716159;0.02957748;1.48507622;
-0.83553064;-0.81372694;0.00158583;35.66252598;33.96640853;0.41423479;41.13709657;1.76267567;90.45175604;7.51688552;337.16240639;0.01528527;0.01165001;0.32580944;0.04556280;0.02756946;1.46279961;
-0.84126871;-0.80788288;0.00000644;37.98920995;32.72121155;0.43357945;46.59657915;1.75865569;86.14727705;7.98660468;330.21473421;0.01474944;0.01126158;0.33451314;0.04633838;0.02780228;1.58627240;
-0.83896021;-0.81122202;0.00024214;36.70204585;33.41951700;0.42427219;45.13531824;1.77038647;88.23871899;7.99471789;334.92831991;0.01578326;0.01140955;0.33365956;0.04578029;0.02973818;1.49866702;
-0.84390537;-0.79756047;0.00057681;40.38932723;31.00189782;0.45493922;52.96906679;1.76994513;80.74261337;8.78900310;327.66017120;0.01305562;0.01076699;0.34452256;0.04697208;0.02793032;1.47114525;
-0.84092507;-0.80894511;0.00018677;37.36324635;32.48188250;0.43157232;46.47945343;1.78561226;86.77739276;8.07787531;334.22162403;0.01321808;0.01123199;0.33360446;0.04593138;0.03007749;1.46745925;
-0.84276491;-0.80316826;0.00101265;39.26494190;31.76291141;0.44276214;49.83088544;1.78056178;83.13103190;8.24804698;329.85049827;0.01484803;0.01093296;0.34030940;0.04620684;0.02864692;1.49409740;
-0.84549543;-0.78977128;0.00055068;42.32729001;29.44990533;0.47333628;56.83881457;1.76751675;77.61027412;9.03097064;324.13671735;0.01219227;0.01037446;0.35274693;0.04809629;0.02949481;1.52572024;
-0.84416582;-0.79117172;0.00000768;40.92988065;29.60483282;0.46258533;57.69387387;1.86306599;79.18834392;8.70568150;327.21135573;0.01988056;0.01032882;0.34757340;0.04694472;0.02823051;1.57548198;
-0.84278636;-0.80310071;0.00103540;39.24981068;31.89392965;0.44612610;49.04167717;1.73592796;82.85877284;8.47055567;327.84649780;0.01090592;0.01107248;0.34037782;0.04639890;0.02740017;1.39455417;
-0.84423686;-0.79889395;0.00128624;39.70793081;30.98833098;0.45455064;51.98322088;1.75731007;82.10013427;8.80818631;327.52100727;0.01002768;0.01086786;0.34490048;0.04704785;0.03014390;1.47880885;
-0.84081340;-0.80935298;0.00006555;37.24586219;32.47237209;0.43259386;44.94163542;1.72787459;86.30032687;8.19940832;333.72290132;0.01032388;0.01136977;0.33383772;0.04583019;0.02713208;1.38965820;
-0.84372634;-0.79239421;0.00000063;41.58417185;30.31240310;0.46347544;57.59547738;1.85496279;78.66321816;8.82242818;330.58629625;0.01864693;0.01037931;0.34577190;0.04710634;0.02883785;1.46175871;
-0.83433262;-0.81335683;0.00048099;36.75546512;34.50348298;0.41152568;43.32481505;1.82415405;88.72083155;7.66730396;342.71128748;0.01870320;0.01144897;0.32996488;0.04444068;0.02736337;1.39249814;
-0.84191814;-0.80725325;0.00048107;38.39847157;32.41283026;0.43440149;46.94205992;1.75029851;85.14877358;8.07419913;329.03337787;0.01035983;0.01127468;0.33992815;0.04626483;0.02982847;1.45493020;
-0.83971150;-0.81066579;0.00004465;37.15981033;33.03283835;0.42684755;44.41369497;1.74621593;87.66312353;8.01910578;333.92106297;0.01086640;0.01139283;0.33612012;0.04590110;0.02938158;1.49673988;
-0.83113487;-0.81567128;0.00313448;35.76655451;35.38183260;0.40497140;39.10437177;1.77812494;91.11922524;7.51459300;347.14161455;0.01793792;0.01170155;0.32376484;0.04446316;0.02746655;1.44533626;
-0.84451690;-0.79753334;0.00124380;39.68750493;30.81572203;0.45442677;52.88451303;1.75502284;81.75008944;8.88545015;323.74743378;0.01302336;0.01073472;0.34482359;0.04716755;0.02813832;1.56513677;
-0.84534052;-0.79033688;0.00047115;41.93650532;29.81446121;0.47055300;56.89735131;1.75345097;77.17421875;8.87881542;324.24590026;0.01200455;0.01046317;0.34970586;0.04757379;0.02795824;1.39602294;
-0.83818950;-0.81220862;0.00025819;36.62699250;33.74988438;0.42268777;43.74174956;1.74268804;88.62875049;7.70309775;336.13786424;0.01258366;0.01153706;0.33176451;0.04580153;0.02995266;1.45342051;
-0.83200669;-0.81445759;0.00043841;35.54891924;35.14529467;0.40066807;44.72011664;1.91723075;90.83484917;7.21989602;345.35436021;0.02638006;0.01147417;0.32374283;0.04404810;0.02873682;1.45642060;
-0.84387056;-0.79940640;0.00103128;39.61267252;31.05495753;0.45077962;51.59054403;1.76942453;82.09476560;8.58107944;326.53361539;0.01229214;0.01086504;0.34331906;0.04680541;0.02907420;1.49284234;
-0.84125542;-0.80833409;0.00006536;37.94681730;32.56999735;0.43411405;45.82868004;1.75208654;86.62703120;8.24276443;329.98751034;0.01126314;0.01126770;0.33933133;0.04636965;0.02853018;1.55871706;
-0.84294650;-0.79797598;0.00013564;40.53611059;30.88371450;0.45194205;52.96502983;1.82936195;80.61740550;8.39640534;334.58151779;0.01826654;0.01063481;0.34136056;0.04647468;0.02668831;1.42987450;
-0.83923819;-0.81115246;0.00012231;36.96384950;33.51856647;0.42677000;44.97107609;1.73578895;88.13497279;8.03577836;334.54120992;0.01243065;0.01143614;0.33447334;0.04630237;0.02809668;1.44269715;
-0.82825538;-0.80685391;0.00000012;36.63495875;33.63190145;0.39866218;54.89221080;2.33143487;86.05022721;6.24034462;360.70394958;0.05638469;0.01040544;0.31106215;0.04026634;0.02526521;1.40272065;
-0.83888926;-0.81088572;0.00000133;36.84906994;33.47203928;0.42360948;45.89837561;1.79073709;87.88097582;7.99047490;336.72429037;0.01468283;0.01133972;0.33494298;0.04543608;0.03009433;1.48108927;
-0.84417051;-0.79781477;0.00079490;39.96222965;30.86454536;0.45815775;51.92096008;1.73337291;81.43053582;8.54486989;325.71818403;0.01064786;0.01086861;0.34296471;0.04737257;0.02962165;1.51064356;
-0.84147861;-0.79226032;0.00000024;40.72475443;30.25636298;0.45136222;61.17070670;2.04009364;78.35648024;8.31912342;343.04866022;0.03151868;0.00994701;0.33979869;0.04436578;0.02726268;1.43180125;
-0.83608447;-0.81228010;0.00011938;36.86598789;34.14040926;0.41642242;45.83185351;1.85417819;88.11030710;7.66975279;339.71096515;0.01937316;0.01146695;0.32691644;0.04492791;0.02740789;1.31746353;
-0.84003817;-0.80950300;0.00002438;37.35421482;33.01777330;0.42678816;47.18247103;1.81963031;86.88760534;7.98097897;334.21446858;0.01882324;0.01120724;0.33408682;0.04550033;0.02915410;1.52563053;
-0.84528556;-0.78876125;0.00000234;42.20911908;29.21177376;0.47047758;58.29932573;1.81656401;76.77493007;8.70974354;324.76806111;0.01712870;0.01026545;0.34911689;0.04731102;0.02781658;1.55373464;
-0.84488891;-0.78972277;0.00003450;41.42046821;29.49359401;0.46722603;57.90632141;1.81997258;78.28711902;9.00645239;322.46731666;0.01633830;0.01031301;0.35155235;0.04724338;0.02974286;1.59685102;
-0.84336884;-0.80083770;0.00087691;39.13139623;31.13637912;0.44748392;51.28498826;1.79325035;82.83816190;8.36117710;329.75094930;0.01520321;0.01083847;0.34038096;0.04644687;0.02947139;1.52868612;
-0.84057135;-0.80890668;0.00001038;37.29286864;32.62406219;0.42901565;45.11705854;1.72944560;86.51094038;8.12000441;334.19030547;0.01149511;0.01121150;0.33518543;0.04575815;0.02996462;1.56560811;
-0.83259427;-0.81461436;0.00090039;35.65253663;34.81302682;0.40264309;42.97198960;1.88320047;90.09376275;7.24452132;344.70105883;0.02348570;0.01149884;0.32477800;0.04345584;0.02851299;1.46792661;
-0.83547331;-0.81378468;0.00084023;36.67932668;34.59733859;0.41552126;43.16917939;1.78564672;89.29167743;7.68581005;340.46185939;0.01508304;0.01162603;0.32983201;0.04536534;0.02890718;1.39123893;
-0.83545963;-0.81332006;0.00048885;36.24357080;34.37673050;0.41339567;44.47080565;1.84270377;89.42211157;7.74134255;342.98711157;0.01935886;0.01143559;0.33025590;0.04453371;0.02928455;1.44328747;
-0.83667269;-0.81183266;0.00001281;37.38194679;33.95981742;0.41447583;45.38993901;1.85266340;88.00373005;7.93940283;343.08126946;0.02025992;0.01116410;0.33676660;0.04463670;0.02958942;1.49386265;
