Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 7050. MAXR = 2. Tempo = 12.58 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.84614995;-0.78838143;0.00061378;42.92987975;29.35568057;0.47617197;57.41548118;1.75072987;76.87170351;9.34698552;323.94272907;0.01031819;0.01029770;0.35592001;0.04850189;0.02965073;1.53244719;
-0.84391065;-0.80209685;0.00082997;39.27756412;31.40910308;0.44880803;50.10703810;1.74010421;83.03209605;8.41043423;322.93319647;0.01157493;0.01112751;0.33918738;0.04744281;0.02786852;1.45159372;
-0.83687960;-0.81377661;0.00079549;36.56378813;34.30431588;0.41600366;41.63918105;1.70341231;89.08789855;7.67905237;333.72466283;0.01149268;0.01179796;0.33049638;0.04603044;0.02705353;1.40284196;
-0.84479761;-0.80011698;0.00073221;39.28202387;30.81894107;0.45241196;50.98747246;1.72813323;82.85281371;8.48339160;316.97090322;0.01078886;0.01104981;0.34166871;0.04790804;0.02894556;1.59680441;
-0.84589743;-0.79223580;0.00001179;40.45550173;29.28926435;0.46923604;55.83454273;1.76034228;79.62481270;8.67855078;316.35968565;0.01262698;0.01061623;0.34497181;0.04820855;0.03033047;1.57381841;
-0.84433405;-0.79584711;0.00004467;40.05352709;30.12034813;0.45881221;53.62838831;1.78934080;80.88994901;8.37748657;320.38112248;0.01546987;0.01071447;0.34198008;0.04739375;0.02928510;1.59352439;
-0.84102083;-0.81026803;0.00034408;37.02630823;32.58755623;0.42864244;44.03684774;1.70171711;87.72650508;7.73225716;325.63748555;0.01204631;0.01154380;0.33453182;0.04700000;0.02785317;1.56347401;
-0.84332692;-0.80227276;0.00018079;38.18996937;31.03569486;0.44737352;48.90339694;1.70675116;84.85397561;8.18869991;316.63643585;0.01164483;0.01120204;0.33782019;0.04815030;0.02861172;1.65686422;
-0.83797590;-0.81265307;0.00021610;36.76077009;33.96888157;0.41903286;43.65505162;1.74073529;88.48160062;7.86433352;332.45285953;0.01334708;0.01165225;0.33186732;0.04593500;0.02714145;1.44046760;
-0.83485795;-0.81496440;0.00153996;35.65323862;34.89624031;0.40865430;41.18322189;1.72574669;90.88580525;7.67211729;335.79409517;0.01410610;0.01184602;0.33022778;0.04570066;0.02714508;1.43265530;
-0.83435911;-0.81532819;0.00186986;35.68074319;35.26798121;0.40851611;40.55816501;1.69530966;91.08141402;7.87470854;335.87478004;0.01064811;0.01194025;0.33005054;0.04590287;0.02710944;1.40499684;
-0.84469529;-0.80079032;0.00117709;39.25794071;31.18502694;0.45160726;50.59047528;1.70621791;83.05539329;8.48598824;318.32817327;0.01035408;0.01105892;0.34269874;0.04786453;0.02895394;1.55884508;
-0.83875327;-0.81202933;0.00002221;36.81587288;33.83668454;0.42172837;43.75511811;1.71133896;88.37513828;8.05630115;329.89233175;0.01053725;0.01164406;0.33371880;0.04629927;0.02782380;1.46435393;
-0.83722733;-0.81327339;0.00028315;36.59858617;34.35403165;0.41673977;43.29121075;1.73452247;88.94434713;7.94095291;334.29747202;0.01258606;0.01166734;0.33238005;0.04581564;0.02733878;1.40074264;
-0.84037595;-0.81069686;0.00011836;36.97568322;33.28814403;0.42730907;44.78940131;1.70794020;88.26684113;8.26373323;326.35414564;0.01118048;0.01157072;0.33664980;0.04700668;0.02858086;1.54045126;
-0.84313256;-0.80431456;0.00019039;38.01777711;31.19189176;0.44382631;47.45876022;1.72546397;85.76572138;7.85377449;317.06457661;0.01215515;0.01128036;0.33712395;0.04783747;0.03151245;1.71850667;
-0.84113516;-0.80973713;0.00001566;36.98400009;32.76104610;0.42999240;45.70685811;1.73540450;87.66146506;7.96120597;327.01083081;0.01200184;0.01146109;0.33462021;0.04670685;0.02933079;1.55559780;
-0.84004191;-0.81074755;0.00000474;37.05417501;33.21196781;0.42645244;44.91538137;1.72624412;87.70699852;7.98781477;330.02004499;0.01283126;0.01150572;0.33418516;0.04647349;0.02750767;1.50573567;
-0.83522403;-0.81446989;0.00084292;36.68439673;34.88604338;0.41061007;42.11217914;1.74368863;89.21133189;7.55491676;337.93349780;0.01446300;0.01174700;0.33055275;0.04541156;0.02677339;1.39248630;
-0.83634275;-0.81373081;0.00041891;36.51248577;34.51034543;0.41456242;42.80501060;1.73346434;89.07855109;7.80207236;336.00342757;0.01292021;0.01169080;0.33102692;0.04563390;0.02684749;1.39818121;
-0.83771136;-0.81306384;0.00043957;36.98417510;34.27498930;0.42033662;43.32563812;1.72678151;88.29103971;8.04951812;334.44289942;0.01176071;0.01167074;0.33367926;0.04574030;0.02735306;1.39762971;
-0.84024750;-0.81085491;0.00008083;36.96432048;33.14063889;0.42588181;44.34260908;1.71523475;87.74685403;7.90935576;327.14079483;0.01160297;0.01157600;0.33319925;0.04652685;0.02805795;1.51791234;
-0.83078756;-0.81664263;0.00127305;35.64528825;35.84878871;0.39790152;41.36322654;1.81532427;90.71280022;7.50490362;348.06912993;0.01756934;0.01176226;0.32628017;0.04368757;0.02653278;1.29141712;
-0.83839883;-0.81229204;0.00003427;37.20998455;34.11322243;0.42079706;43.97511753;1.71960324;87.90915766;7.89357362;334.03003696;0.01229628;0.01155500;0.33365336;0.04607236;0.02733750;1.43465945;
-0.83911454;-0.81160271;0.00000328;37.09570134;33.58293312;0.42383063;44.07877321;1.72539543;87.92131014;7.96476557;331.87054223;0.01127595;0.01155708;0.33445856;0.04617260;0.02841508;1.46798330;
-0.84428232;-0.80153049;0.00058770;39.15804559;31.14457984;0.44992800;50.53326543;1.74648946;83.27659987;8.37160272;318.63919879;0.01196937;0.01104183;0.34125290;0.04746843;0.03021856;1.61650291;
-0.83982007;-0.81120491;0.00009495;36.87168986;33.30138685;0.42579023;44.12066917;1.71096426;88.03480360;7.99623236;329.30002223;0.01072487;0.01157506;0.33501011;0.04639432;0.02897114;1.50530118;
-0.83727907;-0.81319796;0.00038646;36.63784666;34.27066055;0.41770184;42.90040438;1.73159418;88.66045996;7.83941126;334.32000319;0.01160614;0.01168809;0.33096352;0.04557933;0.02820134;1.42707555;
-0.84100193;-0.80994177;0.00001149;37.45756132;32.92367625;0.42932411;44.63543012;1.70568271;87.04451177;7.84773564;326.43678907;0.01137976;0.01148609;0.33456755;0.04671969;0.02851889;1.54583754;
-0.83855478;-0.81227411;0.00010716;36.96356047;33.99441075;0.42219048;44.29090966;1.73220246;88.22896255;7.99760394;333.83532756;0.01140395;0.01161096;0.33273919;0.04611017;0.02877947;1.42777804;
-0.83794651;-0.81306652;0.00074526;36.64192923;34.03870408;0.42185461;42.81050684;1.70334843;88.88924538;7.75792959;335.00147069;0.01207503;0.01167859;0.33289165;0.04630963;0.02746614;1.39353338;
-0.83177231;-0.81583606;0.00120770;35.52390410;35.67000535;0.40045930;41.25865704;1.78287416;90.77784272;7.69107537;342.76093931;0.01493114;0.01177489;0.32740948;0.04407903;0.02705953;1.34774835;
-0.83876300;-0.81212161;0.00020321;36.89837254;33.68493407;0.42260717;43.39554754;1.71295607;88.24317417;7.88311784;331.06084298;0.01136513;0.01164811;0.33272461;0.04629362;0.02779898;1.46084685;
-0.84312527;-0.80642012;0.00030930;38.01673270;32.08348531;0.43782552;47.02120538;1.70832606;85.50763656;8.18344681;321.16046866;0.01031257;0.01134931;0.33699197;0.04717590;0.02861982;1.57060790;
