Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 4600. MAXR = 3. Tempo = 9.37 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.82035038;-0.80974892;0.00000034;35.04635243;35.85464075;0.37515451;52.01472427;2.44797038;91.50852099;5.82361284;366.83740845;0.07145796;0.01062291;0.30515420;0.03958037;0.02694074;1.63504199;
-0.84344655;-0.79977987;0.00084101;39.38311298;30.99225019;0.44869045;52.66961627;1.82318671;82.97169264;8.58910880;330.20969221;0.01712517;0.01066996;0.34494137;0.04667745;0.03150763;1.61145720;
-0.84128701;-0.80625015;0.00006324;37.66108575;32.11230996;0.43721851;46.44993792;1.73045416;85.84616026;8.10433147;328.59738212;0.01114117;0.01125827;0.33580457;0.04652776;0.02833790;1.49675142;
-0.84408073;-0.79022169;0.00001225;41.20339558;29.75740396;0.46643810;58.65314800;1.85324841;78.12285375;8.86759129;328.09580615;0.01826023;0.01024791;0.34676735;0.04674558;0.02898452;1.48542729;
-0.84344243;-0.79781335;0.00075430;40.53356396;30.94401056;0.45301095;52.91679957;1.79431267;80.88497945;8.44421514;332.22519556;0.01505419;0.01065337;0.34592724;0.04686021;0.02845135;1.41632734;
-0.84411056;-0.79310347;0.00001864;41.87927820;30.50413137;0.46228291;57.97467454;1.87390063;78.16887828;8.70567772;330.65261497;0.01958424;0.01039279;0.34694151;0.04666628;0.02750208;1.41136060;
-0.83813552;-0.81170799;0.00069541;37.18729684;34.09949900;0.42385576;44.12128386;1.74553466;88.92119186;8.38366858;337.85178098;0.01274299;0.01140820;0.33762171;0.04620163;0.03066190;1.51347712;
-0.84326808;-0.79774787;0.00056683;40.43124648;31.01990126;0.45357517;53.38604423;1.81245926;81.50824983;8.64874363;332.71815937;0.01639613;0.01061409;0.34624086;0.04698239;0.03009504;1.51952128;
-0.83997998;-0.81066832;0.00005952;37.34789550;33.47343156;0.42567561;44.86542292;1.72196682;87.86554870;8.09684867;329.01177261;0.01254828;0.01145049;0.33626057;0.04667880;0.02940094;1.56968474;
-0.84330158;-0.79795523;0.00062005;40.47837423;31.19408318;0.45452343;53.26973013;1.80447990;81.46847117;8.81152000;332.35857674;0.01469829;0.01064983;0.34649961;0.04689562;0.03002170;1.51408604;
-0.83741400;-0.81193006;0.00021010;36.87361762;33.85489501;0.41937377;44.56421893;1.79111429;87.58628881;7.73399180;337.80042763;0.01661729;0.01143328;0.33179437;0.04473484;0.02652443;1.41298539;
-0.84209026;-0.80790395;0.00086752;39.50012292;32.99699267;0.43396652;47.49651274;1.76416813;85.59259936;8.60270769;334.30126031;0.01041689;0.01113656;0.34975639;0.04695895;0.03181972;1.51544967;
-0.83208972;-0.81367609;0.00058284;36.25125483;34.77752353;0.40606958;43.57219100;1.88698369;88.73646155;6.97532738;346.48163309;0.02352121;0.01144756;0.32543483;0.04317451;0.02751587;1.32188690;
-0.83721315;-0.81264027;0.00039900;36.92423467;34.22826021;0.41901257;44.16547201;1.76930379;88.04615346;7.90914370;339.15067026;0.01525986;0.01149024;0.33085108;0.04520131;0.02704250;1.39890160;
-0.84429467;-0.79716257;0.00111254;40.36528423;30.81867810;0.45564935;52.34171205;1.72757851;80.96498060;8.58204583;326.72869121;0.01054970;0.01078038;0.34741427;0.04742466;0.02800656;1.48365393;
-0.84485336;-0.78971407;0.00007991;41.92866516;29.82218796;0.46593667;59.21917009;1.85222144;77.66973745;8.94070896;327.53139908;0.01835693;0.01018688;0.35130641;0.04700827;0.02947734;1.56015948;
-0.84401141;-0.79012688;0.00001065;42.05161438;29.96904355;0.46432840;59.61736721;1.88772002;77.22869320;8.91828439;333.04222603;0.02014325;0.01012271;0.34901928;0.04645133;0.02913520;1.46721546;
-0.84369053;-0.79249669;0.00001335;41.62352545;30.30014633;0.46125107;57.12818533;1.87565989;77.85359032;8.82368439;333.70614777;0.01735720;0.01033215;0.34598078;0.04584795;0.02892104;1.39989434;
-0.84133108;-0.80782344;0.00009669;37.69500004;32.47241869;0.43425113;46.73193033;1.77053442;86.16635315;8.44019905;331.44115030;0.01202597;0.01124916;0.33724076;0.04588561;0.02892805;1.50639930;
-0.84255198;-0.80226835;0.00081858;39.44615779;31.65752967;0.44160115;50.09237352;1.79078354;82.96406805;8.33999621;331.65255692;0.01504476;0.01086812;0.34136386;0.04628115;0.02887477;1.54357592;
-0.84070480;-0.81000816;0.00027006;36.72759121;32.74594265;0.43191667;44.54696827;1.70511579;88.25634187;8.01652008;330.00186307;0.01129972;0.01142195;0.33349565;0.04700874;0.02938588;1.55982248;
-0.84366477;-0.79632214;0.00045791;40.60493129;30.70648879;0.45485644;53.92642677;1.80399545;80.09471598;8.41073280;329.41322931;0.01659313;0.01065844;0.34417324;0.04672441;0.02782849;1.42049285;
-0.84088745;-0.80764013;0.00001734;38.32202056;32.81455655;0.43382516;47.15917166;1.78452328;85.52206118;8.15129163;334.87516113;0.01542047;0.01115433;0.33753192;0.04575985;0.03014816;1.52830569;
-0.81404791;-0.79054000;0.00000004;34.00483895;34.70754695;0.37664623;71.46682490;2.85494182;97.08399599;6.02919963;367.71462439;0.10714069;0.00919858;0.32447854;0.04170933;0.04897060;3.28193165;
-0.83656772;-0.81264635;0.00070900;37.04373323;34.15567053;0.41650483;43.33358072;1.79092828;88.43618348;7.80704272;337.81214463;0.01674162;0.01147773;0.33287303;0.04507777;0.02831940;1.49807276;
-0.84428107;-0.79517123;0.00086047;40.36791021;30.61125110;0.45606120;55.49790051;1.79983182;80.36843910;8.63774811;326.06315577;0.01647487;0.01052063;0.34578708;0.04699829;0.02854681;1.54465238;
-0.84251279;-0.80137498;0.00065754;39.41260618;31.61575959;0.44500618;52.53616851;1.85922442;82.52717163;8.26371470;333.90010049;0.02045249;0.01072696;0.33984737;0.04572366;0.02925216;1.49501145;
-0.84386403;-0.79862765;0.00102344;40.52461585;31.29783687;0.45470574;51.33083289;1.71854989;81.45785441;8.41688050;327.07081361;0.01038867;0.01087118;0.34522516;0.04766787;0.02879257;1.48806222;
-0.84216801;-0.80560833;0.00038082;37.65862109;32.13813008;0.43432729;49.92945497;1.82371433;85.73626654;7.93702591;329.83728158;0.01872443;0.01094177;0.33669184;0.04595075;0.03116907;1.63017720;
-0.84353532;-0.78693026;0.00000117;42.44518985;29.22980646;0.46977121;60.45374719;1.88136621;77.31392206;9.05411847;330.02974424;0.02105457;0.00996933;0.35653273;0.04733899;0.03162353;1.64221213;
-0.83085725;-0.80841551;0.00000016;36.75012597;33.73326498;0.40286762;52.89201628;2.23208212;85.60453136;6.69393885;362.58104593;0.04900143;0.01049934;0.31449633;0.04016283;0.02423519;1.38279345;
-0.84216421;-0.79877889;0.00021157;40.69640653;31.56765755;0.44750271;53.27704041;1.84128970;80.36954384;8.30406473;332.38094948;0.01920987;0.01080412;0.33887501;0.04609900;0.02611569;1.40013129;
-0.83668027;-0.81218360;0.00019783;36.85272304;33.95913658;0.41769113;45.92291700;1.87037287;88.80761961;7.95974016;341.83318851;0.01946684;0.01132524;0.33347385;0.04485628;0.03008931;1.46909350;
-0.83765469;-0.81243464;0.00114796;36.22667715;33.40219819;0.42041477;41.79567225;1.72696811;88.75849343;7.87831942;334.42538080;0.01192808;0.01162058;0.33210021;0.04536070;0.02811624;1.47684215;
-0.84490764;-0.79511673;0.00076788;40.41642711;30.19668053;0.46265520;53.87560697;1.75213536;80.84275247;9.18411296;323.38586892;0.01059821;0.01064719;0.34961485;0.04765536;0.02893130;1.58227489;
-0.84412817;-0.79834181;0.00113820;39.68916328;30.76438385;0.45352427;52.43818089;1.78181121;81.97347698;8.79223202;328.10601001;0.01192003;0.01076466;0.34378007;0.04696355;0.02952900;1.49016570;
-0.84197591;-0.79583447;0.00000307;40.44398769;30.98655856;0.44890848;58.25199317;1.97162431;80.29205264;8.54270327;334.40899586;0.02671007;0.01026447;0.34201331;0.04537085;0.02927819;1.57206407;
-0.83774079;-0.81215533;0.00047942;36.44622219;33.47431289;0.42200367;42.94820373;1.74819262;88.67278860;7.57395987;338.72062148;0.01326346;0.01146157;0.33046387;0.04543734;0.02927330;1.45878539;
-0.84439427;-0.79602818;0.00089488;40.35010561;30.31989621;0.45863410;52.23585963;1.74350916;80.03092563;8.54424744;328.81447393;0.01001717;0.01065608;0.34568015;0.04662845;0.02966053;1.43328386;
-0.84039640;-0.80773317;0.00000399;38.41656369;32.70860791;0.43093103;48.48135133;1.87015818;85.53280791;8.08227666;336.97289352;0.01964335;0.01102552;0.33740961;0.04528877;0.03071774;1.47910427;
-0.84358533;-0.79636024;0.00043564;40.43315101;30.62802819;0.45579128;54.94151362;1.84716527;80.50208172;8.71067509;331.77337845;0.01735214;0.01051252;0.34386284;0.04647205;0.02916281;1.46528829;
-0.84251860;-0.80285344;0.00099998;39.24086062;31.89760468;0.44332321;50.24039818;1.78272427;83.24499762;8.28292826;331.42667791;0.01391300;0.01098239;0.34102375;0.04626616;0.02863926;1.48000420;
-0.84147122;-0.80761337;0.00030484;37.85659270;32.77856838;0.43550201;46.41524221;1.71833356;85.62860150;8.38455732;330.43161673;0.01025429;0.01129584;0.33522658;0.04624495;0.02737251;1.47437284;
-0.84456362;-0.79137350;0.00002272;41.77963483;30.15300129;0.46322384;57.91937497;1.84769026;77.98772815;8.91118896;328.99985616;0.01867342;0.01027236;0.34937328;0.04678096;0.02957353;1.51479302;
-0.83279181;-0.81456149;0.00131221;35.99398138;34.97666503;0.40659303;41.54066637;1.77926726;89.77471147;7.46284320;344.68184009;0.01697243;0.01158654;0.33012699;0.04427420;0.02574693;1.34317613;
-0.84615712;-0.78087988;0.00031149;44.07585244;28.44802409;0.48836499;63.92812970;1.79390157;73.21403725;9.50112627;321.35944969;0.01389903;0.00987097;0.35859086;0.04850208;0.02864503;1.44752770;
-0.84358958;-0.79971177;0.00102867;39.28099554;31.22840835;0.45079790;53.05363738;1.81892104;82.48870712;8.84252645;331.09426551;0.01522658;0.01068985;0.34176631;0.04621141;0.02934566;1.53978087;
-0.83691104;-0.80639689;0.00000010;38.43352502;32.71394047;0.42726085;49.48177114;1.95821172;84.45594134;7.78102696;348.46597367;0.02413629;0.01081809;0.33127611;0.04368316;0.02814031;1.31417475;
