Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 1200. MAXR = 10. Tempo = 2.65 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.47475997;-0.58402543;0.00000098;89.98767674;85.68587704;0.39922478;140.40633805;3.23922985;89.48960566;56.02005173;446.81335604;0.17992531;0.00932724;0.47795210;0.06533772;0.15379355;5.19683489;
-0.76440704;-0.74559690;0.00006340;47.72566972;54.01652997;0.37414225;116.53259816;3.45826629;112.47263963;10.46709942;401.85608112;0.14601735;0.00836349;0.39981603;0.05892777;0.12200754;5.63434925;
-0.76705093;-0.74788243;0.00017931;35.95650703;60.48313770;0.39480215;135.57679595;3.17794590;138.32408918;6.15564884;411.62225062;0.15458111;0.00764426;0.44683217;0.05799354;0.10903459;5.33710445;
-0.76502612;-0.74555311;0.00000447;42.32413163;61.48276593;0.36665481;123.42551357;3.23513091;120.43711927;8.91919026;385.13723234;0.16379123;0.00781603;0.42977087;0.05826841;0.11774760;5.31183569;
-0.78320016;-0.73179798;0.00026396;42.37976473;53.61944885;0.42614043;134.97098759;3.12305709;118.27460237;16.57967447;407.01856408;0.13419555;0.00655395;0.46685025;0.06074702;0.12383898;6.07797190;
-0.77502211;-0.74968618;0.00165915;33.16134390;51.28163162;0.37036419;112.67102550;3.19936723;132.75228801;8.28032128;395.00072563;0.15128255;0.00735349;0.45958074;0.05180606;0.11776995;5.96204096;
-0.79520970;-0.74966411;0.00213562;25.25168130;35.57995215;0.41098670;102.59463466;3.29577968;135.71103513;13.34380774;382.54075829;0.14387268;0.00780120;0.41395529;0.05327563;0.11601292;6.04555618;
-0.77599621;-0.75282660;0.00551697;33.04787347;46.86002411;0.37217199;119.96222168;3.30632373;133.88431667;6.50129286;434.77060132;0.14737010;0.00732395;0.42005161;0.05411507;0.12572878;6.19782741;
-0.78232791;-0.74849689;0.00154526;33.89725399;48.70101785;0.40645505;108.72276954;3.19503433;136.44635621;11.76171838;394.69595702;0.14936808;0.00773550;0.43314439;0.05828145;0.11892614;5.88445335;
-0.77609809;-0.76273501;0.00632914;41.42652929;48.80580885;0.34570250;97.69009422;3.11930750;110.49873954;10.24180554;426.97752395;0.11623822;0.00756231;0.39196982;0.05020847;0.10692506;4.59044270;
