date;etp;cmb;qin;qobs;w
2015-11-18;4.82;0.40;5.31;25.83;1
2015-11-19;4.43;8.08;4.13;21.14;1
2015-11-20;3.98;16.13;4.80;20.01;1
2015-11-21;4.35;5.03;6.59;16.74;1
2015-11-22;3.54;0.00;7.09;16.65;1
2015-11-23;2.90;19.73;7.07;20.68;1
2015-11-24;4.11;0.88;7.23;39.01;1
2015-11-25;4.26;0.45;6.65;31.98;1
2015-11-26;3.58;0.00;5.60;20.46;1
2015-11-27;4.13;0.07;4.52;16.16;1
2015-11-28;4.44;7.15;3.81;14.41;1
2015-11-29;3.98;16.55;4.46;14.83;1
2015-11-30;3.50;1.27;5.11;18.09;1
2015-12-01;3.55;2.20;4.48;22.00;1
2015-12-02;4.33;2.52;4.60;17.13;1
2015-12-03;4.32;2.73;6.67;15.32;1
2015-12-04;4.42;0.07;8.73;14.33;1
2015-12-05;4.81;6.95;7.75;18.17;1
2015-12-06;5.17;47.98;7.31;18.52;1
2015-12-07;4.17;23.78;15.90;51.98;1
2015-12-08;4.77;3.13;18.93;62.88;1
2015-12-09;4.13;0.00;17.72;55.34;1
2015-12-10;4.09;11.75;14.47;41.04;1
2015-12-11;4.14;0.00;10.55;34.80;1
2015-12-12;3.50;13.68;7.87;29.88;1
2015-12-13;4.10;8.08;6.84;27.64;1
2015-12-14;4.65;9.30;5.92;23.42;1
2015-12-15;4.83;12.37;5.98;24.89;1
2015-12-16;4.50;0.33;6.07;22.00;1
2015-12-17;5.85;0.00;5.59;19.05;1
2015-12-18;5.51;0.00;5.24;16.24;1
2015-12-19;4.54;28.43;4.55;15.97;1
2015-12-20;4.23;1.48;6.26;25.45;1
2015-12-21;3.87;0.52;5.25;32.25;1
2015-12-22;4.15;1.17;5.25;28.04;1
2015-12-23;4.38;0.00;4.90;20.95;1
2015-12-24;4.41;3.60;6.47;16.81;1
2015-12-25;4.33;8.55;9.91;19.44;1
2015-12-26;5.46;2.53;10.18;25.80;1
2015-12-27;5.42;6.57;8.77;27.40;1
2015-12-28;4.63;13.82;7.81;23.51;1
2015-12-29;3.85;11.87;7.72;23.47;1
2015-12-30;3.41;9.17;8.38;23.67;1
2015-12-31;4.51;13.00;7.85;25.96;1
2016-01-01;5.06;6.45;6.71;35.03;1
2016-01-02;4.73;11.80;6.30;37.56;1
2016-01-03;4.57;0.68;8.08;27.01;1
2016-01-04;4.84;0.00;8.61;23.61;1
2016-01-05;4.59;0.00;8.28;22.58;1
2016-01-06;4.80;0.13;6.86;20.55;1
2016-01-07;4.67;0.00;5.42;18.17;1
2016-01-08;4.57;0.07;4.53;14.21;1
2016-01-09;4.65;13.82;4.21;12.36;1
2016-01-10;4.79;8.93;5.45;15.24;1
2016-01-11;4.14;12.23;7.46;19.94;1
2016-01-12;3.35;54.55;10.10;38.10;1
2016-01-13;4.22;3.02;14.89;63.50;1
2016-01-14;4.53;37.82;14.78;69.02;1
2016-01-15;4.29;34.82;17.66;75.31;1
2016-01-16;4.47;0.07;31.11;82.60;1
2016-01-17;4.36;0.00;40.06;77.72;1
2016-01-18;4.38;0.00;37.16;69.35;1
2016-01-19;4.31;0.00;28.64;60.74;1
2016-01-20;4.15;0.07;20.05;55.96;1
2016-01-21;4.29;0.07;13.47;46.30;1
2016-01-22;4.06;0.00;8.62;32.76;1
2016-01-23;4.23;0.80;6.68;25.46;1
2016-01-24;4.69;2.07;6.14;20.29;1
2016-01-25;5.50;7.77;6.62;21.90;1
2016-01-26;4.28;0.48;7.85;28.16;1
2016-01-27;3.86;36.78;12.63;23.61;1
2016-01-28;5.04;0.07;23.08;55.13;1
2016-01-29;4.73;0.55;17.98;70.46;1
2016-01-30;4.34;0.67;13.10;48.89;1
2016-01-31;5.15;0.00;9.61;36.34;1
2016-02-01;5.37;0.00;7.59;28.53;1
2016-02-02;4.48;0.07;6.21;18.74;1
2016-02-03;5.29;0.00;5.35;17.79;1
2016-02-04;4.18;0.00;4.84;15.95;1
2016-02-05;4.28;3.12;4.70;14.71;1
2016-02-06;4.33;38.48;6.83;15.06;1
