Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 6400. MAXR = 5. Tempo = 11.76 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.84614995;-0.78838143;0.00061378;42.92987975;29.35568057;0.47617197;57.41548118;1.75072987;76.87170351;9.34698552;323.94272907;0.01031819;0.01029770;0.35592001;0.04850189;0.02965073;1.53244719;
-0.83604690;-0.81329819;0.00022409;36.61840119;34.35177827;0.41370218;43.35566816;1.77888177;88.75527518;7.64446893;338.03183347;0.01584181;0.01157237;0.32849758;0.04521567;0.02693184;1.39160949;
-0.83892166;-0.81199483;0.00013145;36.28104620;33.43962884;0.42077166;43.48351633;1.71465415;88.88230392;7.83730530;329.91576230;0.01116559;0.01163804;0.33253163;0.04628053;0.02777986;1.48873862;
-0.84027941;-0.80963314;0.00000039;37.85551344;33.25136963;0.43064563;44.99836514;1.71752607;86.80766261;7.90071646;331.77621565;0.01156247;0.01148391;0.33587290;0.04659500;0.02902541;1.47945597;
-0.84501997;-0.79788848;0.00091242;39.50798535;30.44926852;0.45588062;51.93710924;1.72038467;82.59354029;8.57877080;317.41492085;0.01152701;0.01093699;0.34533826;0.04842238;0.02850881;1.60178722;
-0.84110842;-0.80974161;0.00001073;37.25036770;32.78000059;0.43007004;45.18634899;1.72255687;87.13589595;7.92899190;326.86464867;0.01156436;0.01146611;0.33445693;0.04661850;0.02843504;1.51429935;
-0.84029623;-0.81037678;0.00004029;37.09597704;33.20599978;0.42682319;45.29198272;1.73786576;87.56067280;8.03506854;328.58690073;0.01245158;0.01146117;0.33403524;0.04635179;0.02879183;1.52712902;
-0.83677969;-0.81352641;0.00076112;36.91636820;34.33054493;0.41723680;42.09293566;1.72249537;88.44728742;7.66981955;335.18395753;0.01189636;0.01173461;0.33304529;0.04557744;0.02782364;1.36535297;
-0.84469529;-0.80079032;0.00117709;39.25794071;31.18502694;0.45160726;50.59047528;1.70621791;83.05539329;8.48598824;318.32817327;0.01035408;0.01105892;0.34269874;0.04786453;0.02895394;1.55884508;
-0.84441874;-0.78709503;0.00000005;41.70360912;29.19388204;0.47208524;59.80335037;1.82619512;76.94102104;8.93473063;325.24368318;0.01782548;0.01016372;0.35022583;0.04714799;0.02876729;1.51592613;
-0.84037595;-0.81069686;0.00011836;36.97568322;33.28814403;0.42730907;44.78940131;1.70794020;88.26684113;8.26373323;326.35414564;0.01118048;0.01157072;0.33664980;0.04700668;0.02858086;1.54045126;
-0.84090598;-0.80918946;0.00000090;37.26561555;32.76457601;0.42901992;46.83777590;1.77852806;86.63822541;7.94422828;331.19228116;0.01610929;0.01129429;0.33375646;0.04596336;0.02784454;1.49657914;
-0.83291649;-0.81501286;0.00091556;36.00676110;35.17210970;0.40553274;41.21237812;1.76468184;90.09979812;7.48843495;339.32687698;0.01460569;0.01182262;0.32578464;0.04489152;0.02652967;1.32755915;
-0.83368775;-0.81516958;0.00163827;35.69685801;35.12820779;0.40686480;41.19964729;1.75856496;90.68400629;7.67398719;340.47782463;0.01521532;0.01175686;0.32796417;0.04493987;0.02775903;1.42982681;
-0.84113516;-0.80973713;0.00001566;36.98400009;32.76104610;0.42999240;45.70685811;1.73540450;87.66146506;7.96120597;327.01083081;0.01200184;0.01146109;0.33462021;0.04670685;0.02933079;1.55559780;
-0.83520892;-0.81440677;0.00080717;35.82927437;34.94488165;0.41148174;42.92338056;1.74353099;90.24538287;8.29832104;336.44217571;0.01205070;0.01179420;0.32960169;0.04561508;0.02663431;1.38071681;
-0.84484876;-0.79566552;0.00014744;40.39849770;30.08415444;0.46146804;53.74489495;1.77031204;80.66965178;8.58376483;319.36081639;0.01343243;0.01075966;0.34261410;0.04792771;0.02800553;1.55222471;
-0.84519742;-0.77830520;0.00000021;44.85744750;28.34621407;0.49250276;64.94599058;1.81539072;71.65289106;10.02755897;326.47434046;0.01158696;0.00974748;0.36048174;0.04783921;0.02819318;1.34823841;
-0.84330568;-0.79703662;0.00001673;40.46911843;30.97898457;0.45281878;54.51426171;1.84371351;80.60429113;8.45394463;328.32956190;0.01934872;0.01060630;0.34240988;0.04646883;0.03011678;1.57205930;
-0.84069198;-0.81046901;0.00062952;37.09514934;32.76771636;0.42723751;43.30644936;1.68983241;87.88849415;7.59231992;325.39017887;0.01202082;0.01157982;0.33203752;0.04728977;0.02999847;1.59054196;
-0.84025739;-0.81098347;0.00024463;37.10678750;33.36369408;0.42606867;44.72727109;1.70074458;87.77282146;8.00826128;326.73701416;0.01088744;0.01163065;0.33404760;0.04690097;0.02706232;1.48685952;
-0.84078297;-0.80997488;0.00002555;37.39633590;32.97789221;0.42906549;45.52592848;1.73601569;87.29528410;7.98095126;329.21796564;0.01242994;0.01143745;0.33589514;0.04661489;0.02912625;1.52841482;
-0.83905958;-0.81113216;0.00000159;37.12934542;33.48796700;0.42530566;44.63016815;1.74721666;87.78389132;8.25979100;334.42052568;0.01195253;0.01142609;0.33692840;0.04570642;0.02850127;1.47696723;
-0.83840225;-0.81197719;0.00000849;36.88808271;33.82628697;0.42150254;44.25574074;1.73573915;88.28872843;7.96818376;335.38339384;0.01257144;0.01148837;0.33508843;0.04591646;0.02807099;1.44660969;
-0.84449144;-0.79766231;0.00027731;40.17674093;30.58551636;0.45847959;51.37901419;1.73040841;80.99473145;8.43224547;320.62311114;0.01134863;0.01093925;0.34400283;0.04725970;0.02985963;1.54796549;
-0.84042010;-0.80987129;0.00000320;37.09667051;32.92715284;0.42640677;46.21981034;1.77449368;87.11618798;7.70273911;329.55577131;0.01615831;0.01141153;0.33049726;0.04625393;0.02749121;1.46869730;
-0.84504132;-0.79755561;0.00080212;39.47091556;30.36728300;0.45683559;51.86823232;1.72390483;82.02725234;8.44568590;317.94043037;0.01126270;0.01093017;0.34239083;0.04793477;0.02870832;1.58669164;
-0.84509463;-0.79769881;0.00098737;39.48498566;30.34244366;0.45808622;51.92696726;1.73066695;82.01440615;8.57523202;320.10316132;0.01055897;0.01091648;0.34318237;0.04775327;0.02898257;1.53130047;
-0.83658987;-0.81307120;0.00020806;36.39727948;34.33982598;0.41546753;44.65928107;1.78991277;88.87369864;7.87433919;338.87140978;0.01645266;0.01153433;0.32994054;0.04521935;0.02721909;1.40008620;
-0.84049447;-0.81031069;0.00000544;36.93203414;33.08187990;0.42901958;44.61986066;1.70016255;87.58907719;8.06716843;328.17654033;0.01023793;0.01151576;0.33304536;0.04661065;0.02783662;1.52342800;
-0.83738237;-0.81325709;0.00059941;36.68126059;34.20394511;0.41798339;41.96664697;1.70712674;88.62065095;7.57850864;332.56825546;0.01086923;0.01177125;0.33048633;0.04569830;0.02836631;1.45850180;
-0.84245221;-0.80749700;0.00006159;37.38226750;32.05939073;0.43301522;46.97642890;1.74675051;85.32635185;7.74350008;324.91975754;0.01370556;0.01134110;0.33137441;0.04612526;0.02771409;1.50107590;
-0.84138674;-0.80924498;0.00001254;37.48802382;32.66181671;0.43185546;46.02830288;1.74768623;86.87956895;8.05839550;329.44752660;0.01271285;0.01136201;0.33553248;0.04649472;0.02923022;1.53784899;
-0.83722435;-0.81255352;0.00000362;36.92807963;34.30898428;0.41777876;44.70142340;1.77547216;88.03850387;8.05892930;336.47276855;0.01406680;0.01154283;0.33189312;0.04523045;0.02863653;1.38850706;
-0.84470690;-0.79422328;0.00005145;40.53702615;29.81336352;0.46179999;54.94577916;1.79881280;79.88891749;8.56295830;320.44838121;0.01485011;0.01061476;0.34442922;0.04735143;0.02927685;1.58401180;
-0.83777444;-0.81274306;0.00062953;36.45015197;34.00174898;0.41898886;42.48427770;1.70781927;89.22157246;7.79885427;332.20119135;0.01162533;0.01168911;0.33231263;0.04624998;0.02879583;1.47190798;
-0.84511464;-0.79732511;0.00027092;39.36653800;30.07886495;0.45740082;53.11778547;1.76924947;81.90210861;8.19915837;316.75397411;0.01571577;0.01080536;0.34041975;0.04780457;0.02928146;1.63489342;
-0.84541945;-0.78754225;0.00000370;41.18068503;28.84910509;0.47403573;58.08725070;1.75660590;77.61412103;8.97408223;314.26403497;0.01220566;0.01042330;0.34827143;0.04808824;0.02812567;1.57742862;
-0.83259051;-0.81560291;0.00199594;35.53740435;35.46983861;0.40471080;40.36827054;1.75083446;91.40051284;7.61940132;339.28028562;0.01385042;0.01191103;0.32701987;0.04510711;0.02722563;1.39996166;
-0.83695130;-0.81337894;0.00051079;36.75008348;34.35863903;0.41714391;43.11125580;1.75566951;89.00441204;7.85200634;336.87163287;0.01282131;0.01165132;0.33093037;0.04560845;0.02854253;1.44067886;
-0.83643825;-0.81356121;0.00039118;36.47384682;34.40324928;0.41433892;42.93374898;1.75229759;89.14106227;7.68361040;335.53253127;0.01398670;0.01168089;0.33010189;0.04555229;0.02777756;1.41636759;
-0.84173562;-0.80754565;0.00000184;37.96766076;32.44940582;0.42963471;47.18948730;1.77542920;85.63229835;7.65770840;326.09245624;0.01667922;0.01129285;0.33420361;0.04636631;0.02846032;1.54939739;
