Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 2400. MAXR = 4. Tempo = 5.24 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.83324406;-0.79872897;0.00061049;38.84578662;32.36770384;0.41626966;66.77964861;2.47555252;83.36576529;6.79283189;361.13697849;0.06727615;0.00956822;0.32961725;0.04129599;0.02899241;1.63535342;
-0.82228026;-0.80554678;0.00001373;35.31506316;34.83095491;0.38057868;57.37768295;2.55270978;89.87862838;5.26429390;363.62886004;0.07790746;0.01026169;0.30184113;0.03931052;0.02528219;1.81431266;
-0.82689796;-0.80307922;0.00018812;37.43482625;33.15275086;0.40233720;60.27182204;2.48023305;85.40534976;5.85321263;360.57701346;0.07082332;0.01000384;0.31344838;0.04025099;0.02507355;1.49261142;
-0.82806263;-0.79999724;0.00000091;37.24025038;32.95872579;0.40440721;64.87431396;2.55908894;85.17695521;6.38226995;366.01398282;0.07679360;0.00955280;0.31855409;0.03972344;0.02815831;1.68092191;
-0.82960944;-0.80052875;0.00029895;37.86593524;32.82558043;0.40697662;63.27489627;2.48565130;84.42061305;6.21884409;361.08668728;0.06975997;0.00977005;0.32002832;0.04032415;0.02559424;1.58287741;
-0.82699969;-0.80125161;0.00000130;36.92389425;33.34940786;0.39637272;63.55773425;2.55115437;86.12024454;6.05755202;363.84665188;0.07725501;0.00974005;0.31672941;0.03981991;0.02857675;1.77366419;
-0.82616819;-0.80319944;0.00004271;37.10691231;33.77109034;0.39286012;61.06993024;2.53233213;86.71913880;5.62168491;363.61462887;0.07422362;0.00996214;0.31245812;0.04019389;0.02681394;1.73134582;
-0.83011651;-0.80043166;0.00031716;38.05457169;32.74574682;0.40942427;63.85377768;2.49349300;84.01362804;6.65378443;362.47924461;0.06977312;0.00978809;0.32234417;0.04010515;0.02675215;1.55899526;
-0.82649517;-0.80317095;0.00005840;36.56720604;32.81416972;0.39713087;59.65068502;2.49319634;85.91883921;5.91929384;362.52768525;0.07046252;0.00996328;0.31137855;0.03956375;0.02410083;1.55525212;
-0.82826258;-0.80238669;0.00030243;37.06739353;32.85983597;0.39881881;62.19936754;2.50465084;85.45854693;5.85299860;364.88054688;0.07268884;0.00983098;0.31627055;0.04005527;0.02578135;1.58931441;
-0.82457649;-0.80397115;0.00001157;35.93742396;33.89849176;0.39083737;59.53000782;2.53697896;87.92776286;5.84892250;364.70122708;0.07549075;0.01000918;0.30799488;0.03946778;0.02626454;1.67852721;
-0.82956443;-0.80051948;0.00017115;38.22955697;32.95190530;0.40466767;62.93320775;2.49642070;84.25898360;6.24595422;364.40427388;0.07114711;0.00970788;0.32292613;0.04016586;0.02675628;1.65276648;
-0.82680862;-0.80352634;0.00026840;36.06530749;33.49469587;0.39206001;60.83282726;2.50444649;87.93980195;5.70720773;360.77995286;0.07456615;0.00999368;0.31477252;0.04022919;0.02758889;1.78321551;
-0.82952469;-0.80202740;0.00061447;37.26662917;33.85050659;0.40291698;64.32341412;2.51290275;86.41618685;6.69155973;365.05581774;0.07088747;0.00973602;0.32151643;0.04028299;0.03102920;1.78127368;
-0.82332612;-0.80588628;0.00047437;36.07537643;34.58931671;0.38511949;57.96467462;2.48625440;87.41187323;5.73141021;361.87195328;0.07421711;0.01030154;0.31079209;0.03883584;0.02466522;1.57887249;
-0.82558876;-0.80301569;0.00000731;36.17945826;33.45100496;0.38953283;60.39970859;2.54832352;87.91450938;5.68126321;364.11777293;0.07528365;0.00992737;0.31327464;0.03965523;0.02916231;1.85530421;
-0.82886319;-0.80323288;0.00033771;37.11929902;33.45439174;0.39904531;61.77695546;2.48102835;85.44965184;6.31496033;362.39821556;0.06836681;0.00996584;0.31509767;0.03986588;0.02715154;1.62192034;
-0.82600008;-0.80393406;0.00003461;36.82469475;33.42883746;0.39282877;58.93932913;2.49058242;86.10518729;5.63824077;365.01054610;0.07101312;0.01002419;0.31731858;0.03904535;0.02877964;1.64458538;
-0.82763454;-0.80266268;0.00005610;37.07852947;33.53416667;0.39966288;61.41602827;2.48462768;85.67892066;6.20163499;359.36328781;0.07216792;0.00995418;0.31464432;0.03994287;0.02539598;1.64628193;
-0.82638979;-0.80423598;0.00025780;35.99849426;33.62068480;0.39357918;59.61922863;2.48620879;87.08608127;5.86323726;362.96502167;0.07056420;0.01005790;0.31058948;0.03923723;0.02590335;1.66074883;
-0.82915118;-0.80333752;0.00053468;37.20974903;33.27224412;0.40092780;61.10376396;2.46768768;86.14668782;6.34552009;362.06374841;0.06881901;0.00991995;0.31833908;0.04052945;0.02702751;1.61656949;
-0.82218556;-0.80438763;0.00000353;35.63853823;33.86820300;0.38412476;57.46817114;2.55160885;87.97216585;5.54179887;362.36342705;0.07535276;0.01018815;0.30662492;0.03839385;0.02375218;1.67418427;
-0.82406380;-0.80219561;0.00000076;37.08536308;33.34519931;0.39412913;59.66446049;2.53707588;85.31244918;5.66517879;358.29538220;0.07431448;0.01007857;0.30762238;0.03894708;0.02207648;1.55776020;
-0.83231908;-0.79597638;0.00003508;38.67474856;32.36971592;0.41497656;69.34796944;2.51417274;82.94175576;6.64271600;360.79152588;0.07252030;0.00943470;0.32787759;0.04097267;0.03078668;1.82089588;
-0.83112900;-0.79861077;0.00000205;37.76786045;32.12756885;0.41051748;64.15843251;2.46965475;83.88777073;6.60456207;359.35277568;0.06820767;0.00961764;0.32420735;0.04037605;0.02765799;1.67441024;
-0.83241080;-0.79414441;0.00012670;40.29094978;31.43780982;0.42492359;69.29184857;2.52469613;81.30968455;6.87429117;363.36360990;0.07146331;0.00916545;0.33816608;0.04170715;0.02941141;1.56474267;
-0.82291663;-0.80473417;0.00000644;35.42511487;34.28722166;0.38248759;58.77328091;2.59821869;90.16119043;5.54815555;366.57556116;0.08260628;0.01007200;0.31153058;0.03918453;0.03049404;1.91802216;
-0.82765238;-0.80349116;0.00021445;36.52300244;33.12974388;0.40045323;60.08234539;2.47705493;86.31976631;6.05295021;361.90156598;0.06991298;0.00995986;0.31323329;0.03978873;0.02535164;1.58093097;
-0.82572084;-0.79952024;0.00000054;36.91140509;33.63445580;0.39608800;64.76417943;2.63324586;87.80182731;6.10401175;363.36690038;0.08439074;0.00962851;0.31829881;0.04009489;0.03167752;2.00824121;
-0.82913176;-0.80224170;0.00016238;37.48796204;32.67443115;0.40396494;60.93046400;2.46979634;85.47125078;6.11755943;361.26341961;0.06878783;0.00988825;0.31778715;0.04072149;0.02666611;1.57891113;
-0.82947909;-0.80013045;0.00002098;37.59965761;32.15807574;0.40771360;62.02869919;2.47503237;84.51991583;6.00327347;360.34313513;0.06834010;0.00978176;0.31865820;0.04042321;0.02470690;1.57834841;
-0.82934882;-0.80037862;0.00006579;37.68241094;33.04094808;0.40416732;63.84473872;2.51840423;84.95866668;6.63741760;360.96053953;0.07095731;0.00974772;0.31914670;0.04027167;0.02826345;1.73066827;
-0.82906984;-0.80177812;0.00014743;37.32304056;32.79937330;0.40391859;62.44443048;2.48938296;84.76788957;6.21615579;358.25443661;0.07058042;0.00991158;0.31662201;0.03996188;0.02513170;1.59503525;
-0.82474025;-0.80473432;0.00018085;36.50676078;34.25929582;0.39302825;59.37837572;2.51461366;87.06101891;5.94170217;360.84929232;0.07292604;0.01021921;0.31077396;0.03919561;0.02441428;1.59906600;
-0.83279530;-0.79942253;0.00181668;38.93945076;33.09390154;0.41651951;67.57781378;2.47423998;84.07004353;7.15586406;366.54405294;0.06616036;0.00945279;0.33555789;0.04116249;0.03014778;1.54839168;
-0.82999043;-0.80095886;0.00063572;37.22222014;32.71417768;0.40663177;64.11266748;2.51187580;86.21324676;6.39050554;360.77712013;0.07055273;0.00971206;0.32293778;0.04061349;0.02926551;1.73737760;
-0.81404791;-0.79054000;0.00000004;34.00483895;34.70754695;0.37664623;71.46682490;2.85494182;97.08399599;6.02919963;367.71462439;0.10714069;0.00919858;0.32447854;0.04170933;0.04897060;3.28193165;
-0.82853588;-0.80191518;0.00014671;37.37257246;33.21216900;0.40462223;62.96629786;2.51884569;85.38070085;6.27440599;363.72956278;0.07143205;0.00978648;0.31738573;0.03992019;0.02676707;1.61917932;
-0.83294018;-0.79364413;0.00028187;38.94035744;31.63810722;0.42053554;70.90480843;2.50363207;83.32385146;7.06590916;353.03643059;0.06821575;0.00937566;0.33376333;0.04223362;0.03421585;1.91205133;
-0.82298970;-0.80650043;0.00048690;35.87738108;34.72280113;0.38457791;58.51423224;2.50904045;88.26007319;5.83393970;364.90823187;0.07275047;0.01034747;0.30799827;0.03923600;0.02516447;1.57499762;
-0.83248778;-0.79938224;0.00039766;37.45863896;31.85340539;0.41169797;64.13728121;2.44933508;84.63554335;6.86045191;358.23533381;0.06691823;0.00963872;0.32432836;0.04093183;0.02899054;1.72152172;
-0.82915625;-0.80217094;0.00027533;37.01208251;32.68262045;0.40529178;61.58753823;2.48783389;85.68758007;6.41900515;363.00953522;0.06847888;0.00984570;0.31774339;0.03999310;0.02681028;1.59237759;
-0.82730822;-0.80233674;0.00002733;36.48903891;32.90700077;0.39251572;61.04913049;2.48720633;85.93410034;5.62703674;361.27922467;0.07294958;0.00991502;0.31331376;0.03993633;0.02714860;1.71880244;
-0.82704834;-0.80297762;0.00001179;36.47803810;33.20209976;0.39738931;60.18896268;2.47776002;85.90605537;6.08045586;361.17103521;0.06945820;0.00997007;0.31030771;0.03962198;0.02607039;1.61746927;
-0.82723589;-0.80243200;0.00003541;36.62210754;33.58182077;0.39632779;62.47592896;2.52962380;86.71200248;6.26746706;363.82496616;0.07394208;0.00987671;0.31495761;0.03979574;0.02913957;1.78937655;
-0.82986394;-0.80062331;0.00042771;37.39352913;32.66209546;0.40638147;64.10061855;2.49272795;84.78591368;6.61543687;362.42752696;0.07011797;0.00968862;0.31924474;0.04037701;0.02754566;1.58626636;
-0.82676026;-0.80216190;0.00000353;36.37937154;33.27101008;0.39325594;62.28331576;2.52669533;86.38618936;5.85703598;361.19359138;0.07391330;0.00989423;0.31358763;0.03965040;0.02730761;1.74495857;
-0.83350571;-0.79703121;0.00060993;39.15070981;31.57478724;0.42401860;67.01190811;2.45542209;81.98424760;7.17840231;357.41433184;0.06254770;0.00946777;0.32879279;0.04139289;0.02744951;1.49335157;
-0.82823981;-0.80305056;0.00026152;37.23728218;33.54507734;0.40161650;61.76683034;2.48492297;85.78188728;6.74383185;360.63347763;0.06815872;0.00990943;0.31315570;0.04044215;0.02682146;1.58890856;
-0.82845554;-0.80171288;0.00000608;37.38621098;33.50052636;0.40076973;63.46479494;2.51423259;85.60848058;6.13664735;362.77871247;0.07383192;0.00981565;0.31751853;0.04015334;0.02800317;1.75100595;
-0.82809388;-0.80415557;0.00049522;36.93690111;33.65198791;0.39584738;60.11264555;2.44792131;85.72214868;6.00982964;363.50180400;0.06519453;0.01003667;0.31345084;0.03966309;0.02660558;1.63560208;
-0.82674194;-0.80347971;0.00008525;37.17902825;33.71660312;0.39754570;60.56085763;2.46635182;85.16175782;6.01052350;362.22240629;0.06859538;0.01000337;0.31155480;0.03977106;0.02517536;1.52965073;
-0.82556073;-0.80446253;0.00009320;36.20458017;34.12878873;0.39159428;59.17494776;2.49100797;87.18106078;6.05350463;362.06709107;0.07052592;0.01007004;0.30938684;0.03933750;0.02609526;1.67390659;
-0.82778224;-0.79920253;0.00000065;37.62316082;33.36392957;0.40289759;65.53270113;2.54862569;85.21934134;6.37460969;360.97503409;0.07648524;0.00963244;0.31876851;0.04033067;0.02848797;1.75264083;
